timestamp,container,service,cpu_percent,memory_mb
1789443034.784,research-api-cadvisor-1,cadvisor,0.0,18.36
1789443039.802,research-api-api-1,api,38.59,18.16
1789443039.802,research-api-grafana-1,grafana,0.04,46.61
1789443039.802,research-api-postgres-1,postgres,27.87,60.86
1789443039.802,research-api-prometheus-1,prometheus,0.0,34.79
1789443039.802,research-api-cadvisor-1,cadvisor,0.0,18.98
1789443044.778,research-api-api-1,api,39.27,18.78
1789443044.778,research-api-grafana-1,grafana,0.06,47.3
1789443044.778,research-api-postgres-1,postgres,33.61,61.25
1789443044.778,research-api-prometheus-1,prometheus,1.36,35.31
1789443044.778,research-api-cadvisor-1,cadvisor,0.0,18.99
1789443049.804,research-api-api-1,api,42.16,17.63
1789443049.804,research-api-grafana-1,grafana,0.09,47.3
1789443049.804,research-api-postgres-1,postgres,30.95,60.91
1789443049.804,research-api-prometheus-1,prometheus,0.0,35.05
1789443049.804,research-api-cadvisor-1,cadvisor,0.0,18.32
1789443054.787,research-api-api-1,api,42.3,18.34
1789443054.787,research-api-grafana-1,grafana,0.04,47.3
1789443054.787,research-api-postgres-1,postgres,31.13,61.25
1789443054.787,research-api-prometheus-1,prometheus,1.04,35.36
1789443054.787,research-api-cadvisor-1,cadvisor,0.0,18.33
1789443059.811,research-api-api-1,api,41.2,18.39
1789443059.811,research-api-grafana-1,grafana,0.05,47.3
1789443059.811,research-api-postgres-1,postgres,28.25,61.49
1789443059.811,research-api-prometheus-1,prometheus,0.0,34.89
1789443059.811,research-api-cadvisor-1,cadvisor,0.0,18.35
1789443064.778,research-api-api-1,api,38.66,18.24
1789443064.778,research-api-grafana-1,grafana,0.07,47.32
1789443064.778,research-api-postgres-1,postgres,29.2,61.23
1789443064.778,research-api-prometheus-1,prometheus,1.0,35.8
1789443064.778,research-api-cadvisor-1,cadvisor,0.0,18.36
1789443069.806,research-api-api-1,api,41.08,18.23
1789443069.806,research-api-grafana-1,grafana,0.04,47.32
1789443069.806,research-api-postgres-1,postgres,30.96,61.91
1789443069.806,research-api-prometheus-1,prometheus,0.0,35.73
1789443069.806,research-api-cadvisor-1,cadvisor,0.0,18.89
1789443074.788,research-api-api-1,api,43.59,19.02
1789443074.788,research-api-grafana-1,grafana,0.05,47.35
1789443074.788,research-api-postgres-1,postgres,27.46,61.36
1789443074.788,research-api-prometheus-1,prometheus,1.17,36.93
1789443074.788,research-api-cadvisor-1,cadvisor,0.0,18.54
1789443079.792,research-api-api-1,api,38.46,18.45
1789443079.792,research-api-grafana-1,grafana,0.07,47.35
1789443079.792,research-api-postgres-1,postgres,25.43,61.9
1789443079.792,research-api-prometheus-1,prometheus,0.0,36.44
1789443079.792,research-api-cadvisor-1,cadvisor,0.0,19.07
1789443084.795,research-api-api-1,api,44.81,18.7
1789443084.795,research-api-grafana-1,grafana,0.03,47.38
1789443084.795,research-api-postgres-1,postgres,30.15,62.11
1789443084.795,research-api-prometheus-1,prometheus,4.67,38.19
1789443084.795,research-api-cadvisor-1,cadvisor,0.0,18.82
1789443089.8,research-api-api-1,api,42.21,17.71
1789443089.8,research-api-grafana-1,grafana,0.07,47.38
1789443089.8,research-api-postgres-1,postgres,31.85,61.99
1789443089.8,research-api-prometheus-1,prometheus,0.0,37.44
1789443089.8,research-api-cadvisor-1,cadvisor,0.0,19.15
1789443094.787,research-api-api-1,api,42.73,17.62
1789443094.787,research-api-grafana-1,grafana,0.08,47.38
1789443094.787,research-api-postgres-1,postgres,32.78,62.52
1789443094.787,research-api-prometheus-1,prometheus,0.0,37.44
1789443094.787,research-api-cadvisor-1,cadvisor,0.0,18.91
1789443099.79,research-api-api-1,api,44.47,18.32
1789443099.79,research-api-grafana-1,grafana,0.04,47.38
1789443099.79,research-api-postgres-1,postgres,30.24,62.05
1789443099.79,research-api-prometheus-1,prometheus,0.0,37.91
1789443099.79,research-api-cadvisor-1,cadvisor,0.0,18.91
1789443104.796,research-api-api-1,api,40.81,18.08
1789443104.796,research-api-grafana-1,grafana,0.05,47.42
1789443104.796,research-api-postgres-1,postgres,29.03,61.96
1789443104.796,research-api-prometheus-1,prometheus,1.14,38.32
1789443104.796,research-api-cadvisor-1,cadvisor,0.0,18.91
1789443109.781,research-api-api-1,api,46.66,18.57
1789443109.781,research-api-grafana-1,grafana,0.08,47.42
1789443109.781,research-api-postgres-1,postgres,30.67,62.49
1789443109.781,research-api-prometheus-1,prometheus,0.0,38.32
1789443109.781,research-api-cadvisor-1,cadvisor,0.0,19.17
1789443114.801,research-api-api-1,api,42.08,18.44
1789443114.801,research-api-grafana-1,grafana,0.04,47.42
1789443114.801,research-api-postgres-1,postgres,30.69,61.83
1789443114.801,research-api-prometheus-1,prometheus,1.16,39.22
1789443114.801,research-api-cadvisor-1,cadvisor,0.0,18.92
1789443119.789,research-api-api-1,api,40.25,18.63
1789443119.789,research-api-grafana-1,grafana,0.05,47.42
1789443119.789,research-api-postgres-1,postgres,30.35,63.04
1789443119.789,research-api-prometheus-1,prometheus,0.0,38.95
1789443119.789,research-api-cadvisor-1,cadvisor,0.39,19.38
1789443124.801,research-api-api-1,api,42.04,17.48
1789443124.801,research-api-grafana-1,grafana,0.05,47.42
1789443124.801,research-api-postgres-1,postgres,33.19,62.65
1789443124.801,research-api-prometheus-1,prometheus,1.16,38.96
1789443124.801,research-api-cadvisor-1,cadvisor,0.0,19.38
1789443129.805,research-api-api-1,api,47.04,18.96
1789443129.805,research-api-grafana-1,grafana,0.08,47.42
1789443129.805,research-api-postgres-1,postgres,31.94,62.57
1789443129.805,research-api-prometheus-1,prometheus,0.0,38.97
1789443129.805,research-api-cadvisor-1,cadvisor,1.19,19.63
1789443134.798,research-api-api-1,api,49.92,18.07
1789443134.798,research-api-grafana-1,grafana,0.03,47.42
1789443134.798,research-api-postgres-1,postgres,31.23,62.62
1789443134.798,research-api-prometheus-1,prometheus,1.19,38.99
1789443134.798,research-api-cadvisor-1,cadvisor,0.0,19.39
1789443139.812,research-api-api-1,api,42.94,18.73
1789443139.812,research-api-grafana-1,grafana,0.06,47.42
1789443139.812,research-api-postgres-1,postgres,31.01,63.1
1789443139.812,research-api-prometheus-1,prometheus,0.0,39.23
1789443139.812,research-api-cadvisor-1,cadvisor,0.0,19.76
1789443144.8,research-api-api-1,api,42.62,18.01
1789443144.8,research-api-grafana-1,grafana,0.04,47.43
1789443144.8,research-api-postgres-1,postgres,28.71,62.65
1789443144.8,research-api-prometheus-1,prometheus,1.21,39.22
1789443144.8,research-api-cadvisor-1,cadvisor,0.0,19.52
1789443149.824,research-api-api-1,api,42.75,18.52
1789443149.824,research-api-grafana-1,grafana,0.05,47.43
1789443149.824,research-api-postgres-1,postgres,30.03,62.95
1789443149.824,research-api-prometheus-1,prometheus,0.0,39.0
1789443149.824,research-api-cadvisor-1,cadvisor,0.0,19.72
1789443154.781,research-api-api-1,api,43.87,18.36
1789443154.781,research-api-grafana-1,grafana,0.09,47.43
