stage,run,metric,unit,target,load_level,samples,mean,p95,max
05,2,process_cpu_percent,percentual de um nucleo,cadvisor,low,30,0.227,0.26,0.3
05,2,process_cpu_percent,percentual de um nucleo,cadvisor,medium,30,0.179,0.231,0.24
05,2,process_cpu_percent,percentual de um nucleo,cadvisor,high,30,0.215,0.26,0.28
05,2,process_cpu_percent,percentual de um nucleo,inventory-service,low,30,3.647,4.0,4.06
05,2,process_cpu_percent,percentual de um nucleo,inventory-service,medium,30,10.459,11.231,11.26
05,2,process_cpu_percent,percentual de um nucleo,inventory-service,high,30,17.452,18.521,18.54
05,2,process_cpu_percent,percentual de um nucleo,prometheus,low,30,0.246,0.322,0.801
05,2,process_cpu_percent,percentual de um nucleo,prometheus,medium,30,0.153,0.18,0.2
05,2,process_cpu_percent,percentual de um nucleo,prometheus,high,30,0.189,0.231,0.24
05,2,process_cpu_percent,percentual de um nucleo,orders-service,low,30,29.347,33.089,33.26
05,2,process_cpu_percent,percentual de um nucleo,orders-service,medium,30,105.975,125.615,126.64
05,2,process_cpu_percent,percentual de um nucleo,orders-service,high,30,405.512,478.093,482.531
05,2,process_cpu_percent,percentual de um nucleo,products-service,low,30,14.79,16.262,16.28
05,2,process_cpu_percent,percentual de um nucleo,products-service,medium,30,40.675,43.211,43.32
05,2,process_cpu_percent,percentual de um nucleo,products-service,high,30,68.259,72.939,74.12
05,2,process_cpu_percent,percentual de um nucleo,users-service,low,30,14.735,16.202,16.24
05,2,process_cpu_percent,percentual de um nucleo,users-service,medium,30,39.993,42.911,43.06
05,2,process_cpu_percent,percentual de um nucleo,users-service,high,30,60.754,65.421,68.1
05,2,process_memory_mb,MB,cadvisor,low,30,41.337,42.465,42.59
05,2,process_memory_mb,MB,cadvisor,medium,30,42.373,44.02,44.43
05,2,process_memory_mb,MB,cadvisor,high,30,43.06,44.418,44.418
05,2,process_memory_mb,MB,inventory-service,low,30,18.133,19.283,19.422
05,2,process_memory_mb,MB,inventory-service,medium,30,19.441,19.971,20.031
