stage,run,metric,unit,target,load_level,samples,mean,p95,max
05b,2,process_cpu_percent,percentual de um nucleo,cadvisor,low,30,0.229,0.32,0.34
05b,2,process_cpu_percent,percentual de um nucleo,cadvisor,medium,30,0.198,0.251,0.26
05b,2,process_cpu_percent,percentual de um nucleo,cadvisor,high,30,0.245,0.3,0.32
05b,2,process_cpu_percent,percentual de um nucleo,inventory-service,low,30,4.503,4.911,4.94
05b,2,process_cpu_percent,percentual de um nucleo,inventory-service,medium,30,15.33,16.591,16.68
05b,2,process_cpu_percent,percentual de um nucleo,inventory-service,high,30,23.507,24.892,25.03
05b,2,process_cpu_percent,percentual de um nucleo,prometheus,low,30,0.225,0.291,0.482
05b,2,process_cpu_percent,percentual de um nucleo,prometheus,medium,30,0.174,0.211,0.22
05b,2,process_cpu_percent,percentual de um nucleo,prometheus,high,30,0.194,0.231,0.24
05b,2,process_cpu_percent,percentual de um nucleo,orders-service,low,30,30.081,33.384,33.74
05b,2,process_cpu_percent,percentual de um nucleo,orders-service,medium,30,131.645,156.296,158.0
05b,2,process_cpu_percent,percentual de um nucleo,orders-service,high,30,354.245,401.821,406.584
05b,2,process_cpu_percent,percentual de um nucleo,products-service,low,30,17.655,19.351,19.38
05b,2,process_cpu_percent,percentual de um nucleo,products-service,medium,30,57.301,62.333,62.64
05b,2,process_cpu_percent,percentual de um nucleo,products-service,high,30,84.443,88.491,91.08
05b,2,process_cpu_percent,percentual de um nucleo,users-service,low,30,16.709,18.511,18.54
05b,2,process_cpu_percent,percentual de um nucleo,users-service,medium,30,53.839,59.291,59.44
05b,2,process_cpu_percent,percentual de um nucleo,users-service,high,30,73.09,77.381,78.78
05b,2,process_memory_mb,MB,cadvisor,low,30,41.963,43.578,44.508
05b,2,process_memory_mb,MB,cadvisor,medium,30,43.425,44.321,44.363
05b,2,process_memory_mb,MB,cadvisor,high,30,44.154,46.258,46.859
05b,2,process_memory_mb,MB,inventory-service,low,30,17.836,18.34,18.391
05b,2,process_memory_mb,MB,inventory-service,medium,30,18.461,18.791,19.0
05b,2,process_memory_mb,MB,inventory-service,high,30,20.8,21.355,21.75
05b,2,process_memory_mb,MB,prometheus,low,30,86.297,88.866,88.922
05b,2,process_memory_mb,MB,prometheus,medium,30,88.913,90.172,90.297
05b,2,process_memory_mb,MB,prometheus,high,30,89.499,90.555,90.555
05b,2,process_memory_mb,MB,orders-service,low,30,21.4,22.781,22.934
05b,2,process_memory_mb,MB,orders-service,medium,30,23.969,24.579,24.637
05b,2,process_memory_mb,MB,orders-service,high,30,38.539,43.231,49.453
05b,2,process_memory_mb,MB,products-service,low,30,20.697,22.66,22.938
05b,2,process_memory_mb,MB,products-service,medium,30,23.179,23.735,23.871
05b,2,process_memory_mb,MB,products-service,high,30,25.878,26.97,27.176
05b,2,process_memory_mb,MB,users-service,low,30,19.004,19.724,19.746
05b,2,process_memory_mb,MB,users-service,medium,30,21.089,21.633,21.781
05b,2,process_memory_mb,MB,users-service,high,30,23.992,24.716,25.168
05b,2,goroutines,goroutines,cadvisor,low,30,27.0,28.0,28.0
05b,2,goroutines,goroutines,cadvisor,medium,30,26.7,28.0,28.0
05b,2,goroutines,goroutines,cadvisor,high,30,26.433,27.55,28.0
05b,2,goroutines,goroutines,inventory-service,low,30,9.567,12.55,18.0
05b,2,goroutines,goroutines,inventory-service,medium,30,10.033,13.0,13.0
05b,2,goroutines,goroutines,inventory-service,high,30,11.367,19.2,21.0
05b,2,goroutines,goroutines,prometheus,low,30,45.133,46.0,46.0
05b,2,goroutines,goroutines,prometheus,medium,30,45.133,46.0,46.0
05b,2,goroutines,goroutines,prometheus,high,30,45.1,46.0,47.0
05b,2,goroutines,goroutines,orders-service,low,30,14.433,18.65,28.0
05b,2,goroutines,goroutines,orders-service,medium,30,22.3,39.0,41.0
05b,2,goroutines,goroutines,orders-service,high,30,277.733,650.55,837.0
05b,2,goroutines,goroutines,products-service,low,30,11.333,14.0,15.0
05b,2,goroutines,goroutines,products-service,medium,30,13.6,20.65,28.0
05b,2,goroutines,goroutines,products-service,high,30,25.6,58.15,68.0
05b,2,goroutines,goroutines,users-service,low,30,9.5,11.1,17.0
05b,2,goroutines,goroutines,users-service,medium,30,11.2,16.0,18.0
05b,2,goroutines,goroutines,users-service,high,30,24.467,51.15,67.0
05b,2,heap_alloc_mb,MB,cadvisor,low,30,6.299,7.985,8.357
05b,2,heap_alloc_mb,MB,cadvisor,medium,30,6.82,8.546,8.691
05b,2,heap_alloc_mb,MB,cadvisor,high,30,7.111,9.054,9.756
05b,2,heap_alloc_mb,MB,inventory-service,low,30,1.961,2.921,2.993
05b,2,heap_alloc_mb,MB,inventory-service,medium,30,2.044,2.666,2.743
05b,2,heap_alloc_mb,MB,inventory-service,high,30,3.055,4.077,4.601
05b,2,heap_alloc_mb,MB,prometheus,low,30,25.144,28.96,29.761
05b,2,heap_alloc_mb,MB,prometheus,medium,30,25.945,29.846,30.784
05b,2,heap_alloc_mb,MB,prometheus,high,30,26.602,29.678,31.106
05b,2,heap_alloc_mb,MB,orders-service,low,30,2.684,3.37,3.516
05b,2,heap_alloc_mb,MB,orders-service,medium,30,3.16,3.677,3.826
05b,2,heap_alloc_mb,MB,orders-service,high,30,8.088,12.478,17.401
05b,2,heap_alloc_mb,MB,products-service,low,30,3.332,4.938,5.254
05b,2,heap_alloc_mb,MB,products-service,medium,30,4.445,5.254,5.269
05b,2,heap_alloc_mb,MB,products-service,high,30,4.567,5.792,6.179
05b,2,heap_alloc_mb,MB,users-service,low,30,2.145,2.927,3.158
05b,2,heap_alloc_mb,MB,users-service,medium,30,2.937,3.705,3.854
05b,2,heap_alloc_mb,MB,users-service,high,30,3.513,4.346,5.218
05b,2,gc_pause_ms,ms,cadvisor,low,30,0.146,0.183,0.214
05b,2,gc_pause_ms,ms,cadvisor,medium,30,0.371,1.006,1.108
