stage,run,metric,unit,target,load_level,samples,mean,p95,max
01b,1,process_cpu_percent,percentual de um nucleo,monolith,low,30,45.934,51.528,51.66
01b,1,process_cpu_percent,percentual de um nucleo,monolith,medium,30,98.238,106.391,106.48
01b,1,process_cpu_percent,percentual de um nucleo,monolith,high,30,142.282,146.585,147.209
01b,1,process_cpu_percent,percentual de um nucleo,cadvisor,low,30,0.253,0.34,0.36
01b,1,process_cpu_percent,percentual de um nucleo,cadvisor,medium,30,0.159,0.2,0.22
01b,1,process_cpu_percent,percentual de um nucleo,cadvisor,high,30,0.18,0.24,0.26
01b,1,process_cpu_percent,percentual de um nucleo,prometheus,low,30,0.182,0.235,0.28
01b,1,process_cpu_percent,percentual de um nucleo,prometheus,medium,30,0.114,0.151,0.16
01b,1,process_cpu_percent,percentual de um nucleo,prometheus,high,30,0.139,0.16,0.18
01b,1,process_memory_mb,MB,monolith,low,30,24.381,25.295,25.352
01b,1,process_memory_mb,MB,monolith,medium,30,25.337,26.302,27.004
01b,1,process_memory_mb,MB,monolith,high,30,32.561,34.35,36.289
01b,1,process_memory_mb,MB,cadvisor,low,30,40.717,42.47,42.629
01b,1,process_memory_mb,MB,cadvisor,medium,30,42.095,43.039,43.043
01b,1,process_memory_mb,MB,cadvisor,high,30,42.966,44.586,44.695
01b,1,process_memory_mb,MB,prometheus,low,30,82.655,86.98,87.605
01b,1,process_memory_mb,MB,prometheus,medium,30,86.751,87.965,87.965
01b,1,process_memory_mb,MB,prometheus,high,30,84.264,85.691,86.305
01b,1,goroutines,goroutines,monolith,low,30,11.267,19.1,24.0
01b,1,goroutines,goroutines,monolith,medium,30,17.433,35.55,53.0
01b,1,goroutines,goroutines,monolith,high,30,137.7,238.95,310.0
01b,1,goroutines,goroutines,cadvisor,low,30,26.733,28.0,28.0
01b,1,goroutines,goroutines,cadvisor,medium,30,27.1,28.0,28.0
01b,1,goroutines,goroutines,cadvisor,high,30,26.5,28.0,28.0
01b,1,goroutines,goroutines,prometheus,low,30,36.1,37.0,37.0
01b,1,goroutines,goroutines,prometheus,medium,30,36.1,37.0,37.0
01b,1,goroutines,goroutines,prometheus,high,30,36.133,37.0,37.0
01b,1,heap_alloc_mb,MB,monolith,low,30,4.407,4.967,5.031
01b,1,heap_alloc_mb,MB,monolith,medium,30,4.51,5.179,5.268
01b,1,heap_alloc_mb,MB,monolith,high,30,7.739,9.525,10.258
01b,1,heap_alloc_mb,MB,cadvisor,low,30,6.346,8.119,8.588
01b,1,heap_alloc_mb,MB,cadvisor,medium,30,6.6,8.097,8.44
01b,1,heap_alloc_mb,MB,cadvisor,high,30,7.394,9.041,9.731
01b,1,heap_alloc_mb,MB,prometheus,low,30,20.285,23.914,24.467
01b,1,heap_alloc_mb,MB,prometheus,medium,30,19.77,21.991,22.402
01b,1,heap_alloc_mb,MB,prometheus,high,30,19.403,22.154,22.415
01b,1,gc_pause_ms,ms,monolith,low,30,0.488,0.562,0.574
01b,1,gc_pause_ms,ms,monolith,medium,30,0.44,0.526,0.539
01b,1,gc_pause_ms,ms,monolith,high,30,2.31,2.652,2.722
01b,1,gc_pause_ms,ms,cadvisor,low,30,0.209,0.324,0.333
01b,1,gc_pause_ms,ms,cadvisor,medium,30,0.229,0.642,0.942
01b,1,gc_pause_ms,ms,cadvisor,high,30,1.538,9.061,10.17
01b,1,gc_pause_ms,ms,prometheus,low,30,0.091,0.297,0.297
01b,1,gc_pause_ms,ms,prometheus,medium,30,0.098,0.514,0.514
