stage,run,metric,unit,target,load_level,samples,mean,p95,max
01b,3,process_cpu_percent,percentual de um nucleo,monolith,low,30,46.099,50.833,51.12
01b,3,process_cpu_percent,percentual de um nucleo,monolith,medium,30,98.987,105.671,105.96
01b,3,process_cpu_percent,percentual de um nucleo,monolith,high,30,144.532,149.094,151.84
01b,3,process_cpu_percent,percentual de um nucleo,cadvisor,low,30,0.266,0.32,0.465
01b,3,process_cpu_percent,percentual de um nucleo,cadvisor,medium,30,0.16,0.231,0.24
01b,3,process_cpu_percent,percentual de um nucleo,cadvisor,high,30,0.185,0.24,0.24
01b,3,process_cpu_percent,percentual de um nucleo,prometheus,low,30,0.17,0.22,0.25
01b,3,process_cpu_percent,percentual de um nucleo,prometheus,medium,30,0.112,0.14,0.14
01b,3,process_cpu_percent,percentual de um nucleo,prometheus,high,30,0.13,0.16,0.16
01b,3,process_memory_mb,MB,monolith,low,30,23.938,24.785,24.828
01b,3,process_memory_mb,MB,monolith,medium,30,25.285,26.979,27.996
01b,3,process_memory_mb,MB,monolith,high,30,33.127,37.118,38.648
01b,3,process_memory_mb,MB,cadvisor,low,30,41.422,42.704,43.266
01b,3,process_memory_mb,MB,cadvisor,medium,30,42.104,44.0,44.0
01b,3,process_memory_mb,MB,cadvisor,high,30,42.018,43.728,44.008
01b,3,process_memory_mb,MB,prometheus,low,30,86.005,88.43,88.43
01b,3,process_memory_mb,MB,prometheus,medium,30,87.998,89.18,89.18
01b,3,process_memory_mb,MB,prometheus,high,30,85.455,86.227,86.227
01b,3,goroutines,goroutines,monolith,low,30,11.267,21.85,31.0
01b,3,goroutines,goroutines,monolith,medium,30,16.2,34.3,55.0
01b,3,goroutines,goroutines,monolith,high,30,156.367,281.35,325.0
01b,3,goroutines,goroutines,cadvisor,low,30,27.0,28.0,28.0
01b,3,goroutines,goroutines,cadvisor,medium,30,26.5,27.0,28.0
01b,3,goroutines,goroutines,cadvisor,high,30,26.467,27.0,28.0
01b,3,goroutines,goroutines,prometheus,low,30,36.3,37.0,38.0
01b,3,goroutines,goroutines,prometheus,medium,30,36.133,37.0,37.0
01b,3,goroutines,goroutines,prometheus,high,30,36.267,37.0,38.0
01b,3,heap_alloc_mb,MB,monolith,low,30,4.209,5.001,5.749
01b,3,heap_alloc_mb,MB,monolith,medium,30,4.439,5.154,5.579
01b,3,heap_alloc_mb,MB,monolith,high,30,7.84,10.127,10.686
01b,3,heap_alloc_mb,MB,cadvisor,low,30,6.543,7.787,9.354
01b,3,heap_alloc_mb,MB,cadvisor,medium,30,6.698,8.539,8.879
01b,3,heap_alloc_mb,MB,cadvisor,high,30,6.937,8.972,9.459
01b,3,heap_alloc_mb,MB,prometheus,low,30,22.479,27.535,28.479
01b,3,heap_alloc_mb,MB,prometheus,medium,30,24.859,28.953,29.434
01b,3,heap_alloc_mb,MB,prometheus,high,30,24.493,26.899,27.261
01b,3,gc_pause_ms,ms,monolith,low,30,0.503,0.579,0.592
01b,3,gc_pause_ms,ms,monolith,medium,30,0.376,0.49,0.534
01b,3,gc_pause_ms,ms,monolith,high,30,2.525,2.91,2.936
01b,3,gc_pause_ms,ms,cadvisor,low,30,0.177,0.259,0.276
01b,3,gc_pause_ms,ms,cadvisor,medium,30,0.109,0.149,0.336
01b,3,gc_pause_ms,ms,cadvisor,high,30,1.203,2.871,3.347
01b,3,gc_pause_ms,ms,prometheus,low,30,0.079,0.184,0.184
01b,3,gc_pause_ms,ms,prometheus,medium,30,0.039,0.111,0.111
01b,3,gc_pause_ms,ms,prometheus,high,30,0.19,1.052,1.052
01b,3,pool_acquired_conns,conexoes,monolith,low,30,0.433,2.0,6.0
01b,3,pool_acquired_conns,conexoes,monolith,medium,30,1.267,4.0,6.0
01b,3,pool_acquired_conns,conexoes,monolith,high,30,7.533,14.0,14.0
01b,3,pool_idle_conns,conexoes,monolith,low,30,13.567,14.0,14.0
01b,3,pool_idle_conns,conexoes,monolith,medium,30,12.733,14.0,14.0
01b,3,pool_idle_conns,conexoes,monolith,high,30,6.467,14.0,14.0
01b,3,pool_total_conns,conexoes,monolith,low,30,14.0,14.0,14.0
01b,3,pool_total_conns,conexoes,monolith,medium,30,14.0,14.0,14.0
01b,3,pool_total_conns,conexoes,monolith,high,30,14.0,14.0,14.0
01b,3,pool_wait_per_acquire_ms,ms,monolith,low,30,0.004,0.014,0.025
01b,3,pool_wait_per_acquire_ms,ms,monolith,medium,30,0.014,0.033,0.042
01b,3,pool_wait_per_acquire_ms,ms,monolith,high,30,3.536,4.429,4.481
01b,3,pool_empty_acquire_per_s,por segundo,monolith,low,30,0.377,0.815,0.965
01b,3,pool_empty_acquire_per_s,por segundo,monolith,medium,30,15.921,36.604,44.88
01b,3,pool_empty_acquire_per_s,por segundo,monolith,high,30,1133.817,1267.963,1292.14
01b,3,cpu_percent,percentual de um nucleo,nginx,low,60,26.027,29.906,31.92
01b,3,cpu_percent,percentual de um nucleo,nginx,medium,60,127.927,433.081,595.16
01b,3,cpu_percent,percentual de um nucleo,nginx,high,60,575.996,755.042,775.64
01b,3,memory_mb,MB,nginx,low,60,15.659,16.312,16.57
01b,3,memory_mb,MB,nginx,medium,60,19.122,20.188,20.61
01b,3,memory_mb,MB,nginx,high,60,23.057,25.051,25.34
01b,3,cpu_percent,percentual de um nucleo,grafana,low,60,0.117,0.24,0.34
01b,3,cpu_percent,percentual de um nucleo,grafana,medium,60,0.091,0.17,0.22
01b,3,cpu_percent,percentual de um nucleo,grafana,high,60,0.188,0.523,0.93
01b,3,memory_mb,MB,grafana,low,60,47.0,49.32,49.33
01b,3,memory_mb,MB,grafana,medium,60,43.597,43.61,43.84
01b,3,memory_mb,MB,grafana,high,60,43.693,43.91,44.4
01b,3,cpu_percent,percentual de um nucleo,api,low,60,50.366,58.572,59.29
01b,3,cpu_percent,percentual de um nucleo,api,medium,60,105.302,115.523,120.29
01b,3,cpu_percent,percentual de um nucleo,api,high,60,148.226,224.941,254.81
01b,3,memory_mb,MB,api,low,60,17.837,18.556,18.92
01b,3,memory_mb,MB,api,medium,60,18.972,20.691,22.71
01b,3,memory_mb,MB,api,high,60,26.851,29.299,32.04
01b,3,cpu_percent,percentual de um nucleo,postgres,low,60,28.748,33.175,34.67
01b,3,cpu_percent,percentual de um nucleo,postgres,medium,60,62.774,67.076,69.25
01b,3,cpu_percent,percentual de um nucleo,postgres,high,60,89.67,142.064,157.23
01b,3,memory_mb,MB,postgres,low,60,62.551,64.646,65.04
01b,3,memory_mb,MB,postgres,medium,60,75.414,83.926,84.63
01b,3,memory_mb,MB,postgres,high,60,97.843,107.905,108.8
01b,3,cpu_percent,percentual de um nucleo,prometheus,low,60,0.119,0.342,1.72
01b,3,cpu_percent,percentual de um nucleo,prometheus,medium,60,0.098,0.215,1.18
01b,3,cpu_percent,percentual de um nucleo,prometheus,high,60,0.062,0.201,0.26
