timestamp,container,service,cpu_percent,memory_mb
1789598091.143,research-api-nginx-1,nginx,2.39,15.73
1789598091.143,research-api-orders-service-1,orders-service,3.01,6.918
1789598091.143,research-api-users-service-1,users-service,1.92,6.125
1789598091.143,research-api-inventory-service-1,inventory-service,0.57,5.488
1789598091.143,research-api-products-service-1,products-service,2.09,5.727
1789598091.143,research-api-grafana-1,grafana,0.06,117.3
1789598091.143,research-api-postgres-1,postgres,6.33,52.94
1789598091.143,research-api-prometheus-1,prometheus,0.04,86.35
1789598091.143,research-api-cadvisor-1,cadvisor,0.0,15.45
1789598096.152,research-api-nginx-1,nginx,7.88,17.31
1789598096.152,research-api-orders-service-1,orders-service,7.66,7.473
1789598096.152,research-api-users-service-1,users-service,6.4,8.473
1789598096.152,research-api-inventory-service-1,inventory-service,1.53,5.383
1789598096.152,research-api-products-service-1,products-service,5.33,8.281
1789598096.152,research-api-grafana-1,grafana,0.06,117.3
1789598096.152,research-api-postgres-1,postgres,10.45,57.69
1789598096.152,research-api-prometheus-1,prometheus,0.06,86.95
1789598096.152,research-api-cadvisor-1,cadvisor,1.36,15.53
1789598101.117,research-api-nginx-1,nginx,11.5,18.04
1789598101.117,research-api-orders-service-1,orders-service,14.04,9.223
1789598101.117,research-api-users-service-1,users-service,8.44,7.914
1789598101.117,research-api-inventory-service-1,inventory-service,2.47,7.602
1789598101.117,research-api-products-service-1,products-service,8.42,9.793
1789598101.117,research-api-grafana-1,grafana,0.05,117.4
1789598101.117,research-api-postgres-1,postgres,13.83,67.75
1789598101.117,research-api-prometheus-1,prometheus,0.26,87.5
1789598101.117,research-api-cadvisor-1,cadvisor,0.0,16.21
1789598106.13,research-api-nginx-1,nginx,15.38,16.95
1789598106.13,research-api-orders-service-1,orders-service,19.88,10.0
1789598106.13,research-api-users-service-1,users-service,12.2,9.137
1789598106.13,research-api-inventory-service-1,inventory-service,2.88,7.871
1789598106.13,research-api-products-service-1,products-service,11.88,10.34
1789598106.13,research-api-grafana-1,grafana,0.07,117.4
1789598106.13,research-api-postgres-1,postgres,18.48,72.67
1789598106.13,research-api-prometheus-1,prometheus,0.06,88.79
1789598106.13,research-api-cadvisor-1,cadvisor,0.02,16.29
1789598111.123,research-api-nginx-1,nginx,18.56,17.88
1789598111.123,research-api-orders-service-1,orders-service,29.37,10.39
1789598111.123,research-api-users-service-1,users-service,16.57,10.12
1789598111.123,research-api-inventory-service-1,inventory-service,3.06,8.875
1789598111.123,research-api-products-service-1,products-service,16.13,10.02
1789598111.123,research-api-grafana-1,grafana,0.05,117.5
1789598111.123,research-api-postgres-1,postgres,16.85,77.01
1789598111.123,research-api-prometheus-1,prometheus,0.04,89.07
1789598111.123,research-api-cadvisor-1,cadvisor,0.0,17.07
1789598116.144,research-api-nginx-1,nginx,20.26,17.77
1789598116.144,research-api-orders-service-1,orders-service,26.24,9.891
1789598116.144,research-api-users-service-1,users-service,16.7,9.902
1789598116.144,research-api-inventory-service-1,inventory-service,5.05,9.539
1789598116.144,research-api-products-service-1,products-service,15.67,9.207
1789598116.144,research-api-grafana-1,grafana,0.06,117.5
1789598116.144,research-api-postgres-1,postgres,23.03,88.45
1789598116.144,research-api-prometheus-1,prometheus,0.06,89.45
1789598116.144,research-api-cadvisor-1,cadvisor,0.03,17.27
1789598121.134,research-api-nginx-1,nginx,21.14,18.29
1789598121.134,research-api-orders-service-1,orders-service,30.84,11.79
1789598121.134,research-api-users-service-1,users-service,16.99,11.61
1789598121.134,research-api-inventory-service-1,inventory-service,5.14,9.352
1789598121.134,research-api-products-service-1,products-service,17.55,10.46
1789598121.134,research-api-grafana-1,grafana,0.06,117.6
1789598121.134,research-api-postgres-1,postgres,20.05,90.59
1789598121.134,research-api-prometheus-1,prometheus,0.05,89.57
1789598121.134,research-api-cadvisor-1,cadvisor,0.0,17.35
1789598126.119,research-api-nginx-1,nginx,19.33,18.5
1789598126.119,research-api-orders-service-1,orders-service,28.06,11.71
1789598126.119,research-api-users-service-1,users-service,17.32,10.43
1789598126.119,research-api-inventory-service-1,inventory-service,3.76,8.387
1789598126.119,research-api-products-service-1,products-service,17.41,10.81
1789598126.119,research-api-grafana-1,grafana,0.08,117.6
1789598126.119,research-api-postgres-1,postgres,19.66,91.94
1789598126.119,research-api-prometheus-1,prometheus,0.06,89.9
1789598126.119,research-api-cadvisor-1,cadvisor,4.02,16.57
1789598131.121,research-api-nginx-1,nginx,25.04,19.28
1789598131.121,research-api-orders-service-1,orders-service,36.79,10.91
1789598131.121,research-api-users-service-1,users-service,18.4,11.05
1789598131.121,research-api-inventory-service-1,inventory-service,4.64,9.777
1789598131.121,research-api-products-service-1,products-service,21.37,11.05
1789598131.121,research-api-grafana-1,grafana,0.04,117.8
1789598131.121,research-api-postgres-1,postgres,23.49,93.93
1789598131.121,research-api-prometheus-1,prometheus,0.06,89.95
1789598131.121,research-api-cadvisor-1,cadvisor,0.0,16.65
1789598136.124,research-api-nginx-1,nginx,20.81,19.05
1789598136.124,research-api-orders-service-1,orders-service,30.25,11.65
1789598136.124,research-api-users-service-1,users-service,15.99,10.68
1789598136.124,research-api-inventory-service-1,inventory-service,4.25,8.27
1789598136.124,research-api-products-service-1,products-service,16.39,12.69
1789598136.124,research-api-grafana-1,grafana,0.06,117.8
1789598136.124,research-api-postgres-1,postgres,20.42,93.84
1789598136.124,research-api-prometheus-1,prometheus,0.06,90.41
1789598136.124,research-api-cadvisor-1,cadvisor,0.06,16.4
1789598141.128,research-api-nginx-1,nginx,25.38,18.52
1789598141.128,research-api-orders-service-1,orders-service,34.49,13.16
1789598141.128,research-api-users-service-1,users-service,19.48,11.91
1789598141.128,research-api-inventory-service-1,inventory-service,7.11,8.918
1789598141.128,research-api-products-service-1,products-service,21.49,11.87
1789598141.128,research-api-grafana-1,grafana,0.05,117.9
1789598141.128,research-api-postgres-1,postgres,24.75,95.06
1789598141.128,research-api-prometheus-1,prometheus,0.03,90.43
1789598141.128,research-api-cadvisor-1,cadvisor,0.36,16.43
1789598146.133,research-api-nginx-1,nginx,22.98,19.18
1789598146.133,research-api-orders-service-1,orders-service,32.95,13.11
1789598146.133,research-api-users-service-1,users-service,19.23,10.55
1789598146.133,research-api-inventory-service-1,inventory-service,5.8,9.324
1789598146.133,research-api-products-service-1,products-service,17.44,11.22
1789598146.133,research-api-grafana-1,grafana,0.06,117.9
1789598146.133,research-api-postgres-1,postgres,22.5,96.02
1789598146.133,research-api-prometheus-1,prometheus,0.06,90.81
1789598146.133,research-api-cadvisor-1,cadvisor,0.03,16.43
1789598151.127,research-api-nginx-1,nginx,21.51,19.11
1789598151.127,research-api-orders-service-1,orders-service,34.89,12.56
1789598151.127,research-api-users-service-1,users-service,18.84,10.26
1789598151.127,research-api-inventory-service-1,inventory-service,4.87,9.258
1789598151.127,research-api-products-service-1,products-service,15.71,11.94
1789598151.127,research-api-grafana-1,grafana,0.07,118.0
1789598151.127,research-api-postgres-1,postgres,23.37,96.38
1789598151.127,research-api-prometheus-1,prometheus,0.04,90.83
1789598151.127,research-api-cadvisor-1,cadvisor,0.0,17.2
1789598156.118,research-api-nginx-1,nginx,21.48,19.41
1789598156.118,research-api-orders-service-1,orders-service,30.01,13.19
1789598156.118,research-api-users-service-1,users-service,16.63,10.37
1789598156.118,research-api-inventory-service-1,inventory-service,3.46,8.883
1789598156.118,research-api-products-service-1,products-service,19.21,12.36
1789598156.118,research-api-grafana-1,grafana,0.06,118.0
1789598156.118,research-api-postgres-1,postgres,25.64,98.07
1789598156.118,research-api-prometheus-1,prometheus,0.05,91.25
1789598156.118,research-api-cadvisor-1,cadvisor,0.98,17.23
1789598161.122,research-api-nginx-1,nginx,21.31,19.88
1789598161.122,research-api-orders-service-1,orders-service,29.59,13.37
1789598161.122,research-api-users-service-1,users-service,16.84,11.87
1789598161.122,research-api-inventory-service-1,inventory-service,4.78,9.004
1789598161.122,research-api-products-service-1,products-service,17.83,11.7
1789598161.122,research-api-grafana-1,grafana,0.04,118.1
1789598161.122,research-api-postgres-1,postgres,19.58,98.11
1789598161.122,research-api-prometheus-1,prometheus,0.03,91.31
1789598161.122,research-api-cadvisor-1,cadvisor,0.0,17.89
1789598166.12,research-api-nginx-1,nginx,22.58,19.31
1789598166.12,research-api-orders-service-1,orders-service,35.79,15.09
1789598166.12,research-api-users-service-1,users-service,18.61,11.21
1789598166.12,research-api-inventory-service-1,inventory-service,3.85,9.43
1789598166.12,research-api-products-service-1,products-service,17.42,12.68
1789598166.12,research-api-grafana-1,grafana,0.08,118.1
1789598166.12,research-api-postgres-1,postgres,21.56,98.34
1789598166.12,research-api-prometheus-1,prometheus,0.07,91.73
1789598166.12,research-api-cadvisor-1,cadvisor,0.03,17.89
1789598171.105,research-api-nginx-1,nginx,23.83,18.69
1789598171.105,research-api-orders-service-1,orders-service,30.35,15.93
1789598171.105,research-api-users-service-1,users-service,18.96,12.46
1789598171.105,research-api-inventory-service-1,inventory-service,3.98,9.082
1789598171.105,research-api-products-service-1,products-service,20.45,13.12
1789598171.105,research-api-grafana-1,grafana,0.19,118.2
1789598171.105,research-api-postgres-1,postgres,21.19,102.2
1789598171.105,research-api-prometheus-1,prometheus,0.04,91.74
1789598171.105,research-api-cadvisor-1,cadvisor,0.0,17.89
1789598176.123,research-api-nginx-1,nginx,22.85,19.6
1789598176.123,research-api-orders-service-1,orders-service,33.89,14.73
1789598176.123,research-api-users-service-1,users-service,19.41,11.02
1789598176.123,research-api-inventory-service-1,inventory-service,4.21,8.711
1789598176.123,research-api-products-service-1,products-service,21.15,11.51
1789598176.123,research-api-grafana-1,grafana,0.06,118.2
1789598176.123,research-api-postgres-1,postgres,21.37,105.5
1789598176.123,research-api-prometheus-1,prometheus,0.05,92.13
1789598176.123,research-api-cadvisor-1,cadvisor,0.01,17.89
1789598181.123,research-api-nginx-1,nginx,24.65,19.56
1789598181.123,research-api-orders-service-1,orders-service,30.96,13.64
1789598181.123,research-api-users-service-1,users-service,18.47,11.62
1789598181.123,research-api-inventory-service-1,inventory-service,4.87,9.344
1789598181.123,research-api-products-service-1,products-service,20.19,11.87
1789598181.123,research-api-grafana-1,grafana,0.06,118.5
1789598181.123,research-api-postgres-1,postgres,20.74,105.1
1789598181.123,research-api-prometheus-1,prometheus,0.04,92.16
1789598181.123,research-api-cadvisor-1,cadvisor,0.0,17.95
1789598186.133,research-api-nginx-1,nginx,20.54,19.32
1789598186.133,research-api-orders-service-1,orders-service,31.37,14.2
1789598186.133,research-api-users-service-1,users-service,16.6,11.31
1789598186.133,research-api-inventory-service-1,inventory-service,4.63,9.469
1789598186.133,research-api-products-service-1,products-service,17.55,13.38
1789598186.133,research-api-grafana-1,grafana,0.08,118.5
1789598186.133,research-api-postgres-1,postgres,18.47,105.4
1789598186.133,research-api-prometheus-1,prometheus,0.06,92.54
1789598186.133,research-api-cadvisor-1,cadvisor,3.16,18.49
1789598191.149,research-api-nginx-1,nginx,21.13,19.71
1789598191.149,research-api-orders-service-1,orders-service,28.18,13.96
1789598191.149,research-api-users-service-1,users-service,17.94,11.44
1789598191.149,research-api-inventory-service-1,inventory-service,5.13,9.426
1789598191.149,research-api-products-service-1,products-service,18.9,12.28
1789598191.149,research-api-grafana-1,grafana,0.03,119.4
1789598191.149,research-api-postgres-1,postgres,19.99,105.5
1789598191.149,research-api-prometheus-1,prometheus,0.04,92.57
1789598191.149,research-api-cadvisor-1,cadvisor,0.0,18.53
1789598196.153,research-api-nginx-1,nginx,23.41,19.79
1789598196.153,research-api-orders-service-1,orders-service,31.24,14.89
1789598196.153,research-api-users-service-1,users-service,18.31,11.05
1789598196.153,research-api-inventory-service-1,inventory-service,5.18,9.68
1789598196.153,research-api-products-service-1,products-service,20.32,11.55
1789598196.153,research-api-grafana-1,grafana,0.08,119.4
1789598196.153,research-api-postgres-1,postgres,20.49,107.5
1789598196.153,research-api-prometheus-1,prometheus,0.06,93.1
1789598196.153,research-api-cadvisor-1,cadvisor,0.02,18.53
1789598201.148,research-api-nginx-1,nginx,19.26,19.73
1789598201.148,research-api-orders-service-1,orders-service,23.18,15.46
1789598201.148,research-api-users-service-1,users-service,13.56,12.21
1789598201.148,research-api-inventory-service-1,inventory-service,4.97,9.312
1789598201.148,research-api-products-service-1,products-service,14.7,11.89
1789598201.148,research-api-grafana-1,grafana,0.04,119.4
1789598201.148,research-api-postgres-1,postgres,17.77,108.0
1789598201.148,research-api-prometheus-1,prometheus,0.03,93.16
1789598201.148,research-api-cadvisor-1,cadvisor,0.0,17.21
1789598206.153,research-api-nginx-1,nginx,23.85,20.05
1789598206.153,research-api-orders-service-1,orders-service,36.58,14.99
1789598206.153,research-api-users-service-1,users-service,19.84,12.02
1789598206.153,research-api-inventory-service-1,inventory-service,4.5,9.059
1789598206.153,research-api-products-service-1,products-service,19.61,13.31
1789598206.153,research-api-grafana-1,grafana,0.06,119.4
1789598206.153,research-api-postgres-1,postgres,22.73,107.8
1789598206.153,research-api-prometheus-1,prometheus,0.07,93.19
1789598206.153,research-api-cadvisor-1,cadvisor,0.02,17.21
1789598211.132,research-api-nginx-1,nginx,21.62,19.63
1789598211.132,research-api-orders-service-1,orders-service,33.96,13.87
1789598211.132,research-api-users-service-1,users-service,18.94,12.83
