stage,run,metric,unit,target,load_level,samples,mean,p95,max
05b,3,process_cpu_percent,percentual de um nucleo,cadvisor,low,30,0.241,0.291,0.469
05b,3,process_cpu_percent,percentual de um nucleo,cadvisor,medium,30,0.204,0.26,0.26
05b,3,process_cpu_percent,percentual de um nucleo,cadvisor,high,30,0.209,0.24,0.24
05b,3,process_cpu_percent,percentual de um nucleo,inventory-service,low,30,4.347,4.831,4.94
05b,3,process_cpu_percent,percentual de um nucleo,inventory-service,medium,30,14.829,16.34,16.5
05b,3,process_cpu_percent,percentual de um nucleo,inventory-service,high,30,23.185,24.461,24.56
05b,3,process_cpu_percent,percentual de um nucleo,prometheus,low,30,0.22,0.28,0.28
05b,3,process_cpu_percent,percentual de um nucleo,prometheus,medium,30,0.173,0.211,0.22
05b,3,process_cpu_percent,percentual de um nucleo,prometheus,high,30,0.191,0.251,0.26
05b,3,process_cpu_percent,percentual de um nucleo,orders-service,low,30,29.954,33.024,33.12
05b,3,process_cpu_percent,percentual de um nucleo,orders-service,medium,30,125.913,148.441,149.2
05b,3,process_cpu_percent,percentual de um nucleo,orders-service,high,30,352.945,399.33,405.84
05b,3,process_cpu_percent,percentual de um nucleo,products-service,low,30,17.503,19.1,19.18
05b,3,process_cpu_percent,percentual de um nucleo,products-service,medium,30,57.151,61.895,62.14
05b,3,process_cpu_percent,percentual de um nucleo,products-service,high,30,84.674,88.714,89.32
05b,3,process_cpu_percent,percentual de um nucleo,users-service,low,30,16.902,18.451,18.54
05b,3,process_cpu_percent,percentual de um nucleo,users-service,medium,30,54.353,59.139,59.24
05b,3,process_cpu_percent,percentual de um nucleo,users-service,high,30,73.323,77.293,79.12
05b,3,process_memory_mb,MB,cadvisor,low,30,42.448,43.325,43.852
05b,3,process_memory_mb,MB,cadvisor,medium,30,43.443,44.318,44.328
05b,3,process_memory_mb,MB,cadvisor,high,30,44.185,45.359,45.609
05b,3,process_memory_mb,MB,inventory-service,low,30,18.132,18.816,18.863
05b,3,process_memory_mb,MB,inventory-service,medium,30,18.662,19.022,19.062
05b,3,process_memory_mb,MB,inventory-service,high,30,20.981,21.494,21.695
05b,3,process_memory_mb,MB,prometheus,low,30,88.325,89.406,89.488
05b,3,process_memory_mb,MB,prometheus,medium,30,89.678,90.238,90.238
05b,3,process_memory_mb,MB,prometheus,high,30,90.137,90.379,90.379
05b,3,process_memory_mb,MB,orders-service,low,30,21.37,22.062,22.137
05b,3,process_memory_mb,MB,orders-service,medium,30,23.748,24.764,25.145
05b,3,process_memory_mb,MB,orders-service,high,30,38.634,44.753,52.766
05b,3,process_memory_mb,MB,products-service,low,30,20.821,21.623,21.668
05b,3,process_memory_mb,MB,products-service,medium,30,22.654,23.685,23.758
05b,3,process_memory_mb,MB,products-service,high,30,26.14,26.816,27.094
05b,3,process_memory_mb,MB,users-service,low,30,19.215,20.268,20.469
05b,3,process_memory_mb,MB,users-service,medium,30,20.664,21.168,21.324
05b,3,process_memory_mb,MB,users-service,high,30,23.722,24.188,25.164
05b,3,goroutines,goroutines,cadvisor,low,30,26.767,28.0,28.0
05b,3,goroutines,goroutines,cadvisor,medium,30,26.9,28.0,28.0
05b,3,goroutines,goroutines,cadvisor,high,30,26.467,27.0,27.0
05b,3,goroutines,goroutines,inventory-service,low,30,9.1,10.0,10.0
05b,3,goroutines,goroutines,inventory-service,medium,30,9.467,12.0,12.0
05b,3,goroutines,goroutines,inventory-service,high,30,11.733,15.55,21.0
05b,3,goroutines,goroutines,prometheus,low,30,45.0,45.0,45.0
05b,3,goroutines,goroutines,prometheus,medium,30,45.167,46.0,46.0
05b,3,goroutines,goroutines,prometheus,high,30,45.067,45.55,46.0
05b,3,goroutines,goroutines,orders-service,low,30,15.733,22.0,39.0
05b,3,goroutines,goroutines,orders-service,medium,30,22.067,38.55,47.0
05b,3,goroutines,goroutines,orders-service,high,30,274.833,668.45,705.0
05b,3,goroutines,goroutines,products-service,low,30,11.567,13.65,20.0
05b,3,goroutines,goroutines,products-service,medium,30,13.733,22.2,26.0
05b,3,goroutines,goroutines,products-service,high,30,32.233,69.2,125.0
05b,3,goroutines,goroutines,users-service,low,30,9.333,10.55,13.0
05b,3,goroutines,goroutines,users-service,medium,30,10.8,14.1,15.0
05b,3,goroutines,goroutines,users-service,high,30,33.6,80.55,91.0
05b,3,heap_alloc_mb,MB,cadvisor,low,30,6.396,7.792,8.779
05b,3,heap_alloc_mb,MB,cadvisor,medium,30,6.914,8.528,8.913
05b,3,heap_alloc_mb,MB,cadvisor,high,30,6.843,9.051,9.227
05b,3,heap_alloc_mb,MB,inventory-service,low,30,1.966,2.974,3.13
05b,3,heap_alloc_mb,MB,inventory-service,medium,30,2.052,2.901,3.035
05b,3,heap_alloc_mb,MB,inventory-service,high,30,3.068,3.726,3.816
05b,3,heap_alloc_mb,MB,prometheus,low,30,26.146,29.786,29.978
05b,3,heap_alloc_mb,MB,prometheus,medium,30,26.843,30.35,30.884
05b,3,heap_alloc_mb,MB,prometheus,high,30,26.548,29.424,29.935
05b,3,heap_alloc_mb,MB,orders-service,low,30,2.393,2.845,3.193
05b,3,heap_alloc_mb,MB,orders-service,medium,30,3.202,4.079,4.405
05b,3,heap_alloc_mb,MB,orders-service,high,30,7.687,12.205,13.747
05b,3,heap_alloc_mb,MB,products-service,low,30,2.969,3.626,3.938
05b,3,heap_alloc_mb,MB,products-service,medium,30,3.879,5.281,5.612
05b,3,heap_alloc_mb,MB,products-service,high,30,4.715,5.995,6.555
05b,3,heap_alloc_mb,MB,users-service,low,30,2.287,3.006,3.196
05b,3,heap_alloc_mb,MB,users-service,medium,30,2.785,3.539,3.977
05b,3,heap_alloc_mb,MB,users-service,high,30,3.647,4.473,5.336
05b,3,gc_pause_ms,ms,cadvisor,low,30,0.139,0.202,0.396
05b,3,gc_pause_ms,ms,cadvisor,medium,30,0.432,1.328,1.722
05b,3,gc_pause_ms,ms,cadvisor,high,30,0.316,0.638,0.653
05b,3,gc_pause_ms,ms,inventory-service,low,30,0.213,0.309,0.31
05b,3,gc_pause_ms,ms,inventory-service,medium,30,0.276,0.372,0.414
