stage,run,metric,unit,target,load_level,samples,mean,p95,max
01b,2,process_cpu_percent,percentual de um nucleo,monolith,low,30,46.035,51.789,51.82
01b,2,process_cpu_percent,percentual de um nucleo,monolith,medium,30,98.795,105.84,105.916
01b,2,process_cpu_percent,percentual de um nucleo,monolith,high,30,142.851,146.792,147.114
01b,2,process_cpu_percent,percentual de um nucleo,cadvisor,low,30,0.265,0.351,0.38
01b,2,process_cpu_percent,percentual de um nucleo,cadvisor,medium,30,0.157,0.211,0.22
01b,2,process_cpu_percent,percentual de um nucleo,cadvisor,high,30,0.192,0.24,0.26
01b,2,process_cpu_percent,percentual de um nucleo,prometheus,low,30,0.196,0.24,0.26
01b,2,process_cpu_percent,percentual de um nucleo,prometheus,medium,30,0.116,0.14,0.14
01b,2,process_cpu_percent,percentual de um nucleo,prometheus,high,30,0.137,0.171,0.18
01b,2,process_memory_mb,MB,monolith,low,30,24.096,24.951,25.094
01b,2,process_memory_mb,MB,monolith,medium,30,25.654,27.781,28.379
01b,2,process_memory_mb,MB,monolith,high,30,31.94,33.917,34.555
01b,2,process_memory_mb,MB,cadvisor,low,30,39.937,41.142,41.562
01b,2,process_memory_mb,MB,cadvisor,medium,30,41.501,42.566,42.566
01b,2,process_memory_mb,MB,cadvisor,high,30,42.554,44.672,44.891
01b,2,process_memory_mb,MB,prometheus,low,30,84.693,90.102,90.102
01b,2,process_memory_mb,MB,prometheus,medium,30,89.132,91.277,91.727
01b,2,process_memory_mb,MB,prometheus,high,30,91.943,91.977,91.977
01b,2,goroutines,goroutines,monolith,low,30,11.433,18.0,22.0
01b,2,goroutines,goroutines,monolith,medium,30,20.267,60.5,77.0
01b,2,goroutines,goroutines,monolith,high,30,143.9,233.65,421.0
01b,2,goroutines,goroutines,cadvisor,low,30,26.767,28.0,28.0
01b,2,goroutines,goroutines,cadvisor,medium,30,26.8,28.0,28.0
01b,2,goroutines,goroutines,cadvisor,high,30,26.6,28.0,28.0
01b,2,goroutines,goroutines,prometheus,low,30,36.167,37.0,38.0
01b,2,goroutines,goroutines,prometheus,medium,30,36.033,36.0,37.0
