timestamp,container,service,cpu_percent,memory_mb
1789449346.388,research-api-nginx-1,nginx,2.15,12.94
1789449346.388,research-api-grafana-1,grafana,0.04,46.84
1789449346.388,research-api-monolith-partial-1,monolith-partial,3.07,8.75
1789449346.388,research-api-users-service-1,users-service,2.16,8.086
1789449346.388,research-api-postgres-1,postgres,3.25,32.04
1789449346.388,research-api-prometheus-1,prometheus,0.25,26.58
1789449346.388,research-api-cadvisor-1,cadvisor,0.0,16.26
1789449351.384,research-api-nginx-1,nginx,6.13,13.77
1789449351.384,research-api-grafana-1,grafana,0.04,46.88
1789449351.384,research-api-monolith-partial-1,monolith-partial,11.99,9.598
1789449351.384,research-api-users-service-1,users-service,3.75,9.152
1789449351.384,research-api-postgres-1,postgres,8.9,33.53
1789449351.384,research-api-prometheus-1,prometheus,0.0,25.66
1789449351.384,research-api-cadvisor-1,cadvisor,0.0,16.05
1789449356.384,research-api-nginx-1,nginx,11.96,14.41
1789449356.384,research-api-grafana-1,grafana,0.07,46.88
1789449356.384,research-api-monolith-partial-1,monolith-partial,17.46,10.57
1789449356.384,research-api-users-service-1,users-service,8.59,9.527
1789449356.384,research-api-postgres-1,postgres,11.5,40.68
1789449356.384,research-api-prometheus-1,prometheus,0.16,27.16
1789449356.384,research-api-cadvisor-1,cadvisor,0.0,17.24
1789449361.38,research-api-nginx-1,nginx,15.29,14.64
1789449361.38,research-api-grafana-1,grafana,0.04,46.89
1789449361.38,research-api-monolith-partial-1,monolith-partial,22.49,11.43
1789449361.38,research-api-users-service-1,users-service,9.04,8.863
1789449361.38,research-api-postgres-1,postgres,12.75,43.06
1789449361.38,research-api-prometheus-1,prometheus,0.0,26.75
1789449361.38,research-api-cadvisor-1,cadvisor,0.0,17.24
1789449366.387,research-api-nginx-1,nginx,16.93,13.86
1789449366.387,research-api-grafana-1,grafana,0.04,46.89
1789449366.387,research-api-monolith-partial-1,monolith-partial,27.66,13.15
1789449366.387,research-api-users-service-1,users-service,8.57,10.31
1789449366.387,research-api-postgres-1,postgres,18.2,51.35
1789449366.387,research-api-prometheus-1,prometheus,0.13,27.06
1789449366.387,research-api-cadvisor-1,cadvisor,0.0,17.3
1789449371.389,research-api-nginx-1,nginx,20.45,14.67
1789449371.389,research-api-grafana-1,grafana,0.06,46.95
1789449371.389,research-api-monolith-partial-1,monolith-partial,30.74,13.1
1789449371.389,research-api-users-service-1,users-service,10.22,10.02
1789449371.389,research-api-postgres-1,postgres,29.54,53.05
1789449371.389,research-api-prometheus-1,prometheus,0.0,27.06
1789449371.389,research-api-cadvisor-1,cadvisor,0.0,17.29
1789449376.373,research-api-nginx-1,nginx,23.61,13.92
1789449376.373,research-api-grafana-1,grafana,0.05,46.95
1789449376.373,research-api-monolith-partial-1,monolith-partial,38.64,13.39
1789449376.373,research-api-users-service-1,users-service,14.56,11.25
1789449376.373,research-api-postgres-1,postgres,29.75,57.53
1789449376.373,research-api-prometheus-1,prometheus,0.12,27.21
1789449376.373,research-api-cadvisor-1,cadvisor,0.0,18.23
1789449381.409,research-api-nginx-1,nginx,22.28,14.91
1789449381.409,research-api-grafana-1,grafana,0.04,47.24
1789449381.409,research-api-monolith-partial-1,monolith-partial,34.12,14.75
1789449381.409,research-api-users-service-1,users-service,9.35,11.13
1789449381.409,research-api-postgres-1,postgres,23.76,69.67
1789449381.409,research-api-prometheus-1,prometheus,0.0,27.21
1789449381.409,research-api-cadvisor-1,cadvisor,0.0,18.27
1789449386.375,research-api-nginx-1,nginx,21.15,14.74
1789449386.375,research-api-grafana-1,grafana,0.06,47.24
1789449386.375,research-api-monolith-partial-1,monolith-partial,34.01,15.16
1789449386.375,research-api-users-service-1,users-service,14.13,11.48
1789449386.375,research-api-postgres-1,postgres,24.37,69.82
1789449386.375,research-api-prometheus-1,prometheus,0.14,28.17
1789449386.375,research-api-cadvisor-1,cadvisor,0.0,18.43
1789449391.371,research-api-nginx-1,nginx,22.4,14.8
1789449391.371,research-api-grafana-1,grafana,0.04,47.32
1789449391.371,research-api-monolith-partial-1,monolith-partial,33.77,15.12
1789449391.371,research-api-users-service-1,users-service,13.47,10.52
1789449391.371,research-api-postgres-1,postgres,25.59,71.43
1789449391.371,research-api-prometheus-1,prometheus,0.0,28.17
1789449391.371,research-api-cadvisor-1,cadvisor,0.0,18.43
1789449396.397,research-api-nginx-1,nginx,20.87,14.98
1789449396.397,research-api-grafana-1,grafana,0.06,47.32
1789449396.397,research-api-monolith-partial-1,monolith-partial,33.64,17.12
1789449396.397,research-api-users-service-1,users-service,11.83,11.86
1789449396.397,research-api-postgres-1,postgres,25.38,71.6
1789449396.397,research-api-prometheus-1,prometheus,0.16,28.95
1789449396.397,research-api-cadvisor-1,cadvisor,0.38,19.02
1789449401.385,research-api-nginx-1,nginx,22.48,15.47
1789449401.385,research-api-grafana-1,grafana,0.08,47.38
1789449401.385,research-api-monolith-partial-1,monolith-partial,40.58,16.41
1789449401.385,research-api-users-service-1,users-service,11.23,11.42
1789449401.385,research-api-postgres-1,postgres,33.45,72.13
1789449401.385,research-api-prometheus-1,prometheus,0.0,28.95
1789449401.385,research-api-cadvisor-1,cadvisor,0.0,19.02
1789449406.391,research-api-nginx-1,nginx,24.96,15.23
1789449406.391,research-api-grafana-1,grafana,0.04,47.38
1789449406.391,research-api-monolith-partial-1,monolith-partial,36.32,16.8
1789449406.391,research-api-users-service-1,users-service,16.82,12.51
1789449406.391,research-api-postgres-1,postgres,30.95,71.62
1789449406.391,research-api-prometheus-1,prometheus,0.16,29.06
1789449406.391,research-api-cadvisor-1,cadvisor,0.02,17.24
1789449411.39,research-api-nginx-1,nginx,23.19,15.53
1789449411.39,research-api-grafana-1,grafana,0.05,47.5
1789449411.39,research-api-monolith-partial-1,monolith-partial,33.45,17.68
1789449411.39,research-api-users-service-1,users-service,11.42,10.72
1789449411.39,research-api-postgres-1,postgres,32.23,71.53
1789449411.39,research-api-prometheus-1,prometheus,0.0,29.05
1789449411.39,research-api-cadvisor-1,cadvisor,0.0,17.24
1789449416.407,research-api-nginx-1,nginx,23.3,14.99
1789449416.407,research-api-grafana-1,grafana,0.04,47.5
1789449416.407,research-api-monolith-partial-1,monolith-partial,36.56,17.14
1789449416.407,research-api-users-service-1,users-service,13.88,12.13
1789449416.407,research-api-postgres-1,postgres,30.26,71.57
1789449416.407,research-api-prometheus-1,prometheus,0.15,29.2
1789449416.407,research-api-cadvisor-1,cadvisor,0.0,17.46
1789449421.435,research-api-nginx-1,nginx,24.19,16.15
1789449421.435,research-api-grafana-1,grafana,0.05,47.58
1789449421.435,research-api-monolith-partial-1,monolith-partial,43.88,17.07
1789449421.435,research-api-users-service-1,users-service,14.49,10.67
1789449421.435,research-api-postgres-1,postgres,28.99,72.23
1789449421.435,research-api-prometheus-1,prometheus,0.0,29.2
1789449421.435,research-api-cadvisor-1,cadvisor,0.0,17.46
1789449426.424,research-api-nginx-1,nginx,27.4,15.75
1789449426.424,research-api-grafana-1,grafana,0.04,47.58
1789449426.424,research-api-monolith-partial-1,monolith-partial,42.86,17.81
1789449426.424,research-api-users-service-1,users-service,14.88,11.93
1789449426.424,research-api-postgres-1,postgres,31.68,72.16
1789449426.424,research-api-prometheus-1,prometheus,0.14,29.46
1789449426.424,research-api-cadvisor-1,cadvisor,0.0,17.47
1789449431.419,research-api-nginx-1,nginx,30.0,15.65
1789449431.419,research-api-grafana-1,grafana,0.07,47.88
1789449431.419,research-api-monolith-partial-1,monolith-partial,39.39,17.69
1789449431.419,research-api-users-service-1,users-service,14.09,13.05
1789449431.419,research-api-postgres-1,postgres,35.62,72.9
1789449431.419,research-api-prometheus-1,prometheus,0.0,29.46
1789449431.419,research-api-cadvisor-1,cadvisor,0.29,17.72
1789449436.416,research-api-nginx-1,nginx,29.01,16.07
1789449436.416,research-api-grafana-1,grafana,0.05,47.88
1789449436.416,research-api-monolith-partial-1,monolith-partial,45.7,17.89
1789449436.416,research-api-users-service-1,users-service,15.73,11.66
1789449436.416,research-api-postgres-1,postgres,36.0,72.71
1789449436.416,research-api-prometheus-1,prometheus,0.12,29.71
1789449436.416,research-api-cadvisor-1,cadvisor,0.0,17.75
1789449441.404,research-api-nginx-1,nginx,25.38,15.79
1789449441.404,research-api-grafana-1,grafana,0.05,48.53
1789449441.404,research-api-monolith-partial-1,monolith-partial,42.09,17.83
1789449441.404,research-api-users-service-1,users-service,13.39,10.64
1789449441.404,research-api-postgres-1,postgres,30.78,72.88
1789449441.404,research-api-prometheus-1,prometheus,0.0,29.71
1789449441.404,research-api-cadvisor-1,cadvisor,0.0,17.83
1789449446.399,research-api-nginx-1,nginx,18.25,15.78
1789449446.399,research-api-grafana-1,grafana,0.08,48.53
1789449446.399,research-api-monolith-partial-1,monolith-partial,31.37,18.16
