stage,descricao,run,load_level,endpoint,p50_ms,p90_ms,p95_ms,p99_ms,avg_ms,max_ms,throughput_req_s,total_requests,error_rate
Stage 03,Products extraido,1,low,get_inventory,2.35,4.28,5.24,8.08,2.64,21.54,,,0
Stage 03,Products extraido,1,high,get_user,9.71,30.46,43.26,78.02,14.48,188.31,,,0
Stage 03,Products extraido,1,medium,list_products,1.24,2.27,2.96,5.2,1.49,22.23,,,0
Stage 03,Products extraido,1,todos,get_inventory,5.82,28.01,39.6,70.46,11.17,179.14,,,0
Stage 03,Products extraido,1,low,get_product,2.39,4.34,5.3,7.87,2.68,22.72,,,0
Stage 03,Products extraido,1,medium,list_orders,1.53,2.83,3.62,6.09,1.84,19.13,,,0
Stage 03,Products extraido,1,low,list_orders,3.11,5.54,6.69,9.7,3.46,22.36,,,0
Stage 03,Products extraido,1,high,get_inventory,12.37,36.64,49.06,82.0,17.41,179.14,,,0
Stage 03,Products extraido,1,medium,todos,1.37,3.31,4.18,7.06,1.84,27.67,,,
Stage 03,Products extraido,1,todos,todos,5.96,27.83,39.35,70.66,11.24,196.83,2160.0,2203414,0
Stage 03,Products extraido,1,high,list_products,10.12,31.16,43.65,78.88,14.89,183.93,,,0
Stage 03,Products extraido,1,todos,get_product,5.16,23.24,34.13,67.03,9.72,178.17,,,0
Stage 03,Products extraido,1,todos,post_order,12.68,39.59,51.25,81.22,17.73,196.83,,,0
Stage 03,Products extraido,1,medium,get_product,1.24,2.26,2.94,5.17,1.49,27.67,,,0
Stage 03,Products extraido,1,low,todos,2.69,6.12,7.61,10.92,3.29,31.17,,,
Stage 03,Products extraido,1,high,list_orders,13.99,39.03,51.47,83.86,19.04,187.88,,,0
Stage 03,Products extraido,1,medium,get_user,1.22,2.24,2.91,5.1,1.47,25.37,,,0
Stage 03,Products extraido,1,high,get_product,10.16,31.25,44.11,79.1,14.94,178.17,,,0
Stage 03,Products extraido,1,todos,list_products,5.16,23.19,33.97,66.52,9.68,183.93,,,0
Stage 03,Products extraido,1,low,get_user,2.35,4.24,5.15,7.78,2.64,23.23,,,0
Stage 03,Products extraido,1,todos,get_user,4.95,22.57,33.37,66.11,9.43,188.31,,,0
Stage 03,Products extraido,1,todos,list_orders,7.04,30.36,41.94,72.42,12.4,187.88,,,0
Stage 03,Products extraido,1,low,list_products,2.4,4.34,5.31,7.81,2.7,23.47,,,0
Stage 03,Products extraido,1,medium,get_inventory,1.19,2.23,2.88,5.01,1.44,17.19,,,0
Stage 03,Products extraido,1,high,todos,12.02,36.37,49.01,82.17,17.19,196.83,,,
Stage 03,Products extraido,2,low,get_user,2.31,4.31,5.28,7.87,2.62,21.2,,,0
Stage 03,Products extraido,2,medium,get_user,1.22,2.19,2.8,4.84,1.45,19.33,,,0
Stage 03,Products extraido,2,medium,get_inventory,1.19,2.2,2.8,4.86,1.43,18.41,,,0
Stage 03,Products extraido,2,low,get_inventory,2.3,4.33,5.3,7.86,2.61,22.68,,,0
Stage 03,Products extraido,2,medium,post_order,3.17,5.12,6.15,9.2,3.55,24.83,,,0
Stage 03,Products extraido,2,medium,list_products,1.24,2.27,2.91,4.89,1.48,15.86,,,0
Stage 03,Products extraido,2,low,todos,2.65,6.1,7.61,11.21,3.26,31.1,,,
Stage 03,Products extraido,2,high,get_inventory,12.69,37.17,49.52,80.88,17.7,210.2,,,0
Stage 03,Products extraido,2,low,post_order,5.88,9.69,11.47,15.47,6.28,31.1,,,0
Stage 03,Products extraido,2,high,get_user,9.84,30.9,43.34,76.53,14.61,218.63,,,0
Stage 03,Products extraido,2,todos,get_product,5.21,23.69,34.35,65.73,9.8,213.12,,,0
Stage 03,Products extraido,2,high,todos,12.28,36.9,49.22,81.19,17.43,218.63,,,
Stage 03,Products extraido,2,todos,todos,6.01,28.3,39.74,70.05,11.37,218.63,2157.4,2200785,0
Stage 03,Products extraido,2,low,list_products,2.34,4.39,5.4,8.13,2.67,19.24,,,0
Stage 03,Products extraido,2,todos,get_user,4.95,22.9,33.73,64.89,9.49,218.63,,,0
Stage 03,Products extraido,2,todos,get_inventory,5.87,28.58,39.99,69.75,11.33,210.2,,,0
Stage 03,Products extraido,2,todos,post_order,12.92,40.37,52.0,81.23,17.98,216.86,,,0
Stage 03,Products extraido,2,high,list_products,10.37,31.76,43.82,76.68,15.15,203.27,,,0
Stage 03,Products extraido,2,medium,list_orders,1.54,2.8,3.53,5.8,1.83,17.7,,,0
Stage 03,Products extraido,2,todos,list_orders,7.12,30.77,42.15,71.89,12.52,216.37,,,0
Stage 03,Products extraido,2,medium,get_product,1.24,2.23,2.87,4.87,1.47,15.83,,,0
Stage 03,Products extraido,2,low,list_orders,3.09,5.57,6.84,9.75,3.43,19.22,,,0
Stage 03,Products extraido,2,low,get_product,2.34,4.35,5.39,8.18,2.66,18.38,,,0
Stage 03,Products extraido,2,high,list_orders,14.24,39.35,51.62,82.72,19.31,216.37,,,0
Stage 03,Products extraido,2,medium,todos,1.37,3.27,4.07,6.39,1.81,24.83,,,
Stage 03,Products extraido,2,high,post_order,22.44,49.21,61.46,91.96,27.03,216.86,,,0
Stage 03,Products extraido,2,high,get_product,10.32,31.64,43.81,77.33,15.08,213.12,,,0
Stage 03,Products extraido,2,todos,list_products,5.23,23.88,34.59,65.18,9.84,203.27,,,0
Stage 03,Products extraido,3,high,list_orders,13.64,38.3,50.55,81.51,18.67,216.23,,,0
Stage 03,Products extraido,3,todos,list_products,5.11,23.11,34.03,65.15,9.62,224.79,,,0
Stage 03,Products extraido,3,todos,post_order,12.58,39.0,50.46,80.0,17.46,231.84,,,0
Stage 03,Products extraido,3,todos,get_user,4.82,22.21,33.09,64.98,9.28,215.07,,,0
Stage 03,Products extraido,3,medium,list_products,1.22,2.15,2.73,4.62,1.43,16.22,,,0
Stage 03,Products extraido,3,low,get_user,2.33,4.3,5.24,7.82,2.64,23.15,,,0
Stage 03,Products extraido,3,medium,get_user,1.19,2.09,2.65,4.51,1.41,20.96,,,0
Stage 03,Products extraido,3,low,get_product,2.37,4.32,5.29,8.01,2.67,19.1,,,0
Stage 03,Products extraido,3,high,post_order,21.53,47.6,59.75,90.42,26.06,231.84,,,0
Stage 03,Products extraido,3,low,list_products,2.39,4.46,5.49,8.54,2.73,24.95,,,0
Stage 03,Products extraido,3,medium,get_product,1.21,2.13,2.72,4.62,1.43,19.45,,,0
Stage 03,Products extraido,3,high,get_user,9.51,30.29,42.61,76.17,14.27,215.07,,,0
Stage 03,Products extraido,3,todos,get_product,5.08,23.01,33.98,65.74,9.59,214.25,,,0
Stage 03,Products extraido,3,low,get_inventory,2.34,4.34,5.39,8.18,2.67,20.36,,,0
Stage 03,Products extraido,3,high,get_product,9.96,31.08,43.42,76.38,14.71,214.25,,,0
Stage 03,Products extraido,3,high,get_inventory,12.0,36.03,48.12,79.57,17.02,223.75,,,0
Stage 03,Products extraido,3,todos,todos,5.86,27.48,38.8,69.41,11.07,231.84,2163.1,2206835,0
Stage 03,Products extraido,3,low,list_orders,3.14,5.57,6.75,9.99,3.48,26.18,,,0
Stage 03,Products extraido,3,high,list_products,10.0,31.11,43.33,76.76,14.76,224.79,,,0
Stage 03,Products extraido,3,low,todos,2.68,6.08,7.62,11.13,3.29,33.7,,,
Stage 03,Products extraido,3,medium,post_order,3.08,4.88,5.86,8.82,3.44,23.53,,,0
Stage 03,Products extraido,3,low,post_order,5.89,9.6,11.12,15.33,6.28,33.7,,,0
Stage 03,Products extraido,3,todos,get_inventory,5.68,27.52,38.75,68.55,10.93,223.75,,,0
Stage 03,Products extraido,3,medium,get_inventory,1.16,2.09,2.66,4.42,1.38,14.34,,,0
Stage 03,Products extraido,3,medium,todos,1.33,3.15,3.89,6.1,1.75,23.53,,,
Stage 03,Products extraido,3,todos,list_orders,6.83,29.81,41.16,71.49,12.11,216.23,,,0
Stage 03,Products extraido,3,medium,list_orders,1.5,2.68,3.36,5.51,1.77,21.36,,,0
Stage 03,Products extraido,3,high,todos,11.8,35.96,48.22,80.12,16.93,231.84,,,
Stage 04,Orders e Inventory extraidos,1,medium,list_products,1.71,3.71,4.75,7.67,2.15,35.25,,,0
Stage 04,Orders e Inventory extraidos,1,medium,todos,1.97,6.79,10.25,18.76,3.27,58.64,,,
Stage 04,Orders e Inventory extraidos,1,todos,get_product,5.12,28.08,42.33,81.66,11.19,306.25,,,0
Stage 04,Orders e Inventory extraidos,1,low,post_order,6.78,12.05,14.39,19.32,7.65,33.14,,,4.429
Stage 04,Orders e Inventory extraidos,1,todos,list_products,5.14,28.3,42.57,82.29,11.27,306.23,,,0
Stage 04,Orders e Inventory extraidos,1,high,get_inventory,10.58,38.67,55.18,97.59,17.23,304.96,,,0
Stage 04,Orders e Inventory extraidos,1,low,list_orders,2.41,4.87,6.07,9.36,2.87,17.75,,,0
Stage 04,Orders e Inventory extraidos,1,high,get_user,11.79,40.6,56.61,97.42,18.36,313.17,,,0
Stage 04,Orders e Inventory extraidos,1,low,get_product,1.75,3.54,4.52,7.17,2.11,14.47,,,0
Stage 04,Orders e Inventory extraidos,1,medium,get_inventory,1.76,3.62,4.6,7.3,2.17,22.07,,,0
Stage 04,Orders e Inventory extraidos,1,todos,list_orders,12.69,154.97,231.74,623.51,61.25,1890.47,,,0
Stage 04,Orders e Inventory extraidos,1,high,todos,16.5,134.45,213.45,607.99,52.99,2189.84,,,
Stage 04,Orders e Inventory extraidos,1,high,get_product,12.07,40.52,56.37,98.7,18.53,306.25,,,0
Stage 04,Orders e Inventory extraidos,1,todos,get_user,4.99,27.92,42.29,81.85,11.09,313.17,,,0
Stage 04,Orders e Inventory extraidos,1,medium,get_user,1.68,3.64,4.67,7.44,2.1,26.26,,,0
Stage 04,Orders e Inventory extraidos,1,high,post_order,132.04,406.99,630.69,1078.38,187.58,2189.84,,,4.429
Stage 04,Orders e Inventory extraidos,1,todos,post_order,32.93,258.15,434.98,910.16,106.22,2189.84,,,4.429
Stage 04,Orders e Inventory extraidos,1,medium,post_order,7.41,16.71,20.05,27.15,9.3,58.64,,,4.429
Stage 04,Orders e Inventory extraidos,1,medium,list_orders,2.24,4.95,6.37,10.17,2.83,32.01,,,0
Stage 04,Orders e Inventory extraidos,1,high,list_products,12.1,40.75,56.44,98.93,18.61,306.23,,,0
Stage 04,Orders e Inventory extraidos,1,low,todos,2.05,6.36,8.44,13.47,3.02,33.14,,,
Stage 04,Orders e Inventory extraidos,1,low,get_inventory,1.83,3.45,4.37,6.89,2.15,15.35,,,0
Stage 04,Orders e Inventory extraidos,1,medium,get_product,1.7,3.68,4.74,7.64,2.13,28.04,,,0
Stage 04,Orders e Inventory extraidos,1,low,get_user,1.75,3.54,4.47,7.06,2.1,19.14,,,0
Stage 04,Orders e Inventory extraidos,1,todos,get_inventory,4.64,26.05,40.47,81.55,10.51,304.96,,,0
Stage 04,Orders e Inventory extraidos,1,todos,todos,6.65,65.25,142.05,426.77,30.36,2189.84,1843.6,1880825,0.663
Stage 04,Orders e Inventory extraidos,1,low,list_products,1.77,3.54,4.54,7.24,2.13,27.21,,,0
Stage 04,Orders e Inventory extraidos,1,high,list_orders,70.77,218.34,387.1,772.28,110.81,1890.47,,,0
Stage 04,Orders e Inventory extraidos,2,high,get_product,14.02,46.95,65.29,108.08,21.29,318.37,,,0
Stage 04,Orders e Inventory extraidos,2,todos,get_inventory,5.25,30.18,46.48,89.61,12.01,269.53,,,0
Stage 04,Orders e Inventory extraidos,2,medium,get_user,1.94,4.68,6.26,11.88,2.68,123.24,,,0
Stage 04,Orders e Inventory extraidos,2,medium,get_product,1.95,4.65,6.19,11.71,2.64,92.55,,,0
Stage 04,Orders e Inventory extraidos,2,high,get_user,13.68,46.63,65.04,110.37,21.11,317.92,,,0
Stage 04,Orders e Inventory extraidos,2,high,todos,19.2,137.64,215.66,552.72,53.95,1976.49,,,
Stage 04,Orders e Inventory extraidos,2,high,post_order,132.2,361.3,559.41,1005.36,181.26,1976.49,,,3.841
Stage 04,Orders e Inventory extraidos,2,todos,todos,7.63,71.73,144.99,377.35,31.12,1976.49,1829.1,1865817,0.576
Stage 04,Orders e Inventory extraidos,2,high,list_orders,72.93,218.3,368.97,719.09,110.61,1688.72,,,0
Stage 04,Orders e Inventory extraidos,2,medium,todos,2.31,8.24,12.47,24.27,3.98,161.44,,,
Stage 04,Orders e Inventory extraidos,2,todos,post_order,37.35,255.03,377.71,838.62,103.0,1976.49,,,3.841
Stage 04,Orders e Inventory extraidos,2,medium,get_inventory,2.01,4.67,6.17,11.79,2.7,93.47,,,0
Stage 04,Orders e Inventory extraidos,2,todos,get_product,5.9,32.82,49.25,91.9,12.96,318.37,,,0
Stage 04,Orders e Inventory extraidos,2,low,post_order,7.41,12.53,14.62,19.16,8.13,32.23,,,3.841
Stage 04,Orders e Inventory extraidos,2,todos,list_products,5.9,32.72,49.25,93.41,12.98,281.24,,,0
Stage 04,Orders e Inventory extraidos,2,low,list_orders,2.65,5.29,6.55,9.77,3.11,18.56,,,0
Stage 04,Orders e Inventory extraidos,2,todos,get_user,5.74,32.54,48.85,93.1,12.83,317.92,,,0
Stage 04,Orders e Inventory extraidos,2,high,list_products,14.06,46.95,65.31,109.36,21.31,281.24,,,0
Stage 04,Orders e Inventory extraidos,2,medium,list_products,1.96,4.68,6.29,12.01,2.66,93.75,,,0
Stage 04,Orders e Inventory extraidos,2,medium,post_order,8.3,19.48,24.45,39.61,10.82,161.44,,,3.841
Stage 04,Orders e Inventory extraidos,2,low,get_inventory,2.01,3.75,4.66,7.23,2.33,16.89,,,0
Stage 04,Orders e Inventory extraidos,2,high,get_inventory,12.24,44.26,62.48,106.32,19.57,269.53,,,0
Stage 04,Orders e Inventory extraidos,2,low,todos,2.28,6.93,9.05,13.84,3.27,32.23,,,
Stage 04,Orders e Inventory extraidos,2,low,get_user,1.95,3.89,4.87,7.66,2.31,21.91,,,0
Stage 04,Orders e Inventory extraidos,2,low,get_product,1.96,3.9,4.93,7.58,2.32,15.66,,,0
Stage 04,Orders e Inventory extraidos,2,medium,list_orders,2.59,6.24,8.42,16.24,3.52,124.72,,,0
Stage 04,Orders e Inventory extraidos,2,todos,list_orders,15.17,159.4,224.54,591.95,60.99,1688.72,,,0
Stage 04,Orders e Inventory extraidos,2,low,list_products,1.99,3.94,4.95,7.77,2.35,18.8,,,0
Stage 04,Orders e Inventory extraidos,3,medium,list_orders,2.44,5.61,7.27,11.75,3.15,944.3,,,0
Stage 04,Orders e Inventory extraidos,3,low,get_product,1.95,3.82,4.83,7.57,2.3,19.86,,,0
Stage 04,Orders e Inventory extraidos,3,medium,todos,2.15,7.43,11.01,19.9,3.56,948.55,,,
Stage 04,Orders e Inventory extraidos,3,high,get_product,13.66,46.26,64.86,108.13,20.92,259.98,,,0
Stage 04,Orders e Inventory extraidos,3,todos,get_product,5.68,32.01,48.12,90.48,12.63,259.98,,,0
Stage 04,Orders e Inventory extraidos,3,todos,get_user,5.56,31.73,47.81,90.67,12.48,942.25,,,0
Stage 04,Orders e Inventory extraidos,3,low,list_orders,2.68,5.19,6.39,9.48,3.11,22.58,,,0
Stage 04,Orders e Inventory extraidos,3,todos,list_products,5.66,32.03,48.06,90.5,12.62,277.4,,,0
Stage 04,Orders e Inventory extraidos,3,low,post_order,7.45,12.24,14.28,18.46,8.1,32.1,,,4.441
Stage 04,Orders e Inventory extraidos,3,high,todos,18.74,132.38,204.02,550.16,53.05,2181.92,,,
Stage 04,Orders e Inventory extraidos,3,medium,get_product,1.83,4.18,5.44,9.06,2.35,47.49,,,0
Stage 04,Orders e Inventory extraidos,3,medium,get_user,1.82,4.16,5.44,8.86,2.35,942.25,,,0
Stage 04,Orders e Inventory extraidos,3,high,list_orders,72.28,214.92,364.55,674.89,107.88,1908.76,,,0
Stage 04,Orders e Inventory extraidos,3,medium,get_inventory,1.91,4.18,5.41,8.65,2.41,38.48,,,0
Stage 04,Orders e Inventory extraidos,3,todos,post_order,37.28,243.23,386.11,849.05,102.04,2181.92,,,4.441
Stage 04,Orders e Inventory extraidos,3,low,list_products,1.97,3.89,4.9,7.78,2.33,23.58,,,0
Stage 04,Orders e Inventory extraidos,3,high,get_user,13.38,45.97,64.29,107.23,20.67,261.59,,,0
Stage 04,Orders e Inventory extraidos,3,todos,todos,7.37,71.64,139.45,383.98,30.59,2181.92,1835.9,1874667,0.667
Stage 04,Orders e Inventory extraidos,3,low,get_inventory,2.02,3.76,4.69,7.28,2.34,15.7,,,0
Stage 04,Orders e Inventory extraidos,3,medium,post_order,7.88,17.52,21.29,29.27,9.85,948.55,,,4.441
Stage 04,Orders e Inventory extraidos,3,todos,get_inventory,5.11,29.31,45.07,88.7,11.73,272.93,,,0
Stage 04,Orders e Inventory extraidos,3,high,get_inventory,11.89,43.07,61.33,105.73,19.14,259.33,,,0
Stage 04,Orders e Inventory extraidos,3,low,todos,2.27,6.95,9.08,13.59,3.26,32.1,,,
Stage 04,Orders e Inventory extraidos,3,medium,list_products,1.84,4.2,5.46,8.91,2.36,43.93,,,0
Stage 04,Orders e Inventory extraidos,3,low,get_user,1.94,3.82,4.77,7.52,2.3,24.72,,,0
Stage 04,Orders e Inventory extraidos,3,todos,list_orders,14.65,150.64,223.63,557.85,59.42,1908.76,,,0
Stage 04,Orders e Inventory extraidos,3,high,list_products,13.63,46.34,64.94,107.71,20.92,277.4,,,0
Stage 04,Orders e Inventory extraidos,3,high,post_order,128.15,362.74,568.84,1015.49,178.73,2181.92,,,4.441
Stage 05,Microsservicos completos,1,high,post_order,95.43,433.51,645.36,1109.46,169.41,2490.02,,,8.37
Stage 05,Microsservicos completos,1,high,list_orders,47.24,179.62,305.11,546.45,81.32,1709.79,,,0
Stage 05,Microsservicos completos,1,high,get_user,7.19,23.12,32.5,60.99,11.02,268.89,,,0
Stage 05,Microsservicos completos,1,low,todos,1.84,6.31,8.41,12.93,2.79,33.05,,,
Stage 05,Microsservicos completos,1,todos,get_product,3.37,16.51,24.58,50.14,6.92,267.34,,,0
Stage 05,Microsservicos completos,1,todos,post_order,22.62,245.4,459.6,944.82,96.47,2490.02,,,8.37
Stage 05,Microsservicos completos,1,medium,list_products,1.11,2.39,3.14,5.3,1.41,18.63,,,0
Stage 05,Microsservicos completos,1,todos,get_user,3.31,16.26,24.27,49.16,6.82,268.89,,,0
Stage 05,Microsservicos completos,1,todos,list_products,3.47,16.71,24.84,50.82,7.06,269.86,,,0
Stage 05,Microsservicos completos,1,medium,get_inventory,1.14,2.3,3.02,5.08,1.41,15.51,,,0
Stage 05,Microsservicos completos,1,high,get_product,7.35,23.41,32.95,61.57,11.22,267.34,,,0
Stage 05,Microsservicos completos,1,todos,todos,4.6,42.76,105.81,417.07,24.12,2490.02,1931.8,1970664,1.257
Stage 05,Microsservicos completos,1,medium,post_order,5.81,11.74,13.88,19.21,7.03,40.2,,,8.37
Stage 05,Microsservicos completos,1,todos,get_inventory,3.12,14.72,22.16,46.06,6.34,261.23,,,0
Stage 05,Microsservicos completos,1,medium,todos,1.26,5.18,7.8,13.08,2.28,40.2,,,
Stage 05,Microsservicos completos,1,low,list_orders,2.3,4.37,5.32,8.5,2.67,20.66,,,0
Stage 05,Microsservicos completos,1,todos,list_orders,8.02,118.78,189.29,461.47,45.11,1709.79,,,0
Stage 05,Microsservicos completos,1,low,get_product,1.54,2.96,3.67,5.83,1.81,21.38,,,0
Stage 05,Microsservicos completos,1,low,get_inventory,1.59,2.94,3.66,5.5,1.85,29.9,,,0
Stage 05,Microsservicos completos,1,medium,get_product,1.06,2.31,3.07,5.24,1.36,18.61,,,0
Stage 05,Microsservicos completos,1,high,todos,9.91,97.91,174.81,581.3,41.87,2490.02,,,
Stage 05,Microsservicos completos,1,high,list_products,7.5,23.6,33.24,62.95,11.41,269.86,,,0
Stage 05,Microsservicos completos,1,medium,get_user,1.06,2.3,3.05,5.22,1.35,19.1,,,0
Stage 05,Microsservicos completos,1,medium,list_orders,1.52,3.29,4.32,7.1,1.94,22.26,,,0
Stage 05,Microsservicos completos,1,low,get_user,1.54,2.95,3.66,5.69,1.8,18.79,,,0
Stage 05,Microsservicos completos,1,low,list_products,1.64,3.09,3.79,6.04,1.9,17.16,,,0
Stage 05,Microsservicos completos,1,low,post_order,7.05,11.63,13.55,17.95,7.69,33.05,,,8.37
Stage 05,Microsservicos completos,1,high,get_inventory,6.53,21.12,29.96,57.55,10.11,261.23,,,0
Stage 05,Microsservicos completos,2,high,todos,10.25,96.86,167.9,586.31,41.65,2069.7,,,
Stage 05,Microsservicos completos,2,low,list_products,1.69,3.23,3.97,5.9,1.96,20.11,,,0
Stage 05,Microsservicos completos,2,high,get_inventory,6.6,22.11,31.85,62.31,10.5,265.09,,,0
Stage 05,Microsservicos completos,2,high,get_user,7.29,23.93,33.95,63.13,11.34,265.09,,,0
Stage 05,Microsservicos completos,2,low,get_user,1.6,3.03,3.78,5.76,1.86,20.12,,,0
Stage 05,Microsservicos completos,2,todos,get_user,3.35,16.73,25.23,52.02,7.01,265.09,,,0
Stage 05,Microsservicos completos,2,medium,get_product,1.07,2.32,3.1,5.42,1.37,19.01,,,0
Stage 05,Microsservicos completos,2,medium,todos,1.26,5.15,7.63,12.57,2.27,40.89,,,
Stage 05,Microsservicos completos,2,low,post_order,7.25,11.73,13.49,17.24,7.81,30.67,,,8.147
Stage 05,Microsservicos completos,2,low,get_product,1.6,3.05,3.76,5.8,1.86,18.0,,,0
Stage 05,Microsservicos completos,2,todos,get_inventory,3.12,15.26,23.35,49.82,6.57,265.09,,,0
Stage 05,Microsservicos completos,2,todos,post_order,24.76,230.06,450.98,919.96,94.28,2069.7,,,8.147
Stage 05,Microsservicos completos,2,medium,get_user,1.06,2.31,3.08,5.29,1.36,21.13,,,0
Stage 05,Microsservicos completos,2,high,post_order,93.06,425.15,644.89,1060.03,165.28,2069.7,,,8.147
Stage 05,Microsservicos completos,2,medium,post_order,5.69,11.3,13.33,18.68,6.87,40.89,,,8.147
Stage 05,Microsservicos completos,2,low,get_inventory,1.68,3.05,3.76,5.77,1.92,17.58,,,0
Stage 05,Microsservicos completos,2,medium,get_inventory,1.14,2.32,3.05,5.18,1.43,19.35,,,0
Stage 05,Microsservicos completos,2,high,list_products,7.68,25.2,35.59,66.84,11.97,263.11,,,0
Stage 05,Microsservicos completos,2,medium,list_orders,1.52,3.29,4.33,7.31,1.94,20.17,,,0
Stage 05,Microsservicos completos,2,low,todos,1.91,6.47,8.62,12.8,2.86,30.67,,,
Stage 05,Microsservicos completos,2,low,list_orders,2.37,4.42,5.42,8.12,2.7,20.41,,,0
Stage 05,Microsservicos completos,2,todos,list_orders,9.13,120.3,197.94,487.32,47.18,1567.93,,,0
Stage 05,Microsservicos completos,2,high,get_product,7.55,24.67,34.73,65.36,11.71,262.17,,,0
Stage 05,Microsservicos completos,2,medium,list_products,1.12,2.38,3.18,5.5,1.42,23.76,,,0
Stage 05,Microsservicos completos,2,todos,list_products,3.56,17.73,26.58,54.51,7.4,263.11,,,0
Stage 05,Microsservicos completos,2,high,list_orders,49.2,181.1,300.72,587.98,82.94,1567.93,,,0
Stage 05,Microsservicos completos,2,todos,get_product,3.43,17.29,25.95,53.03,7.21,262.17,,,0
Stage 05,Microsservicos completos,2,todos,todos,4.68,45.86,105.28,412.58,24.18,2069.7,1931.2,1970109,1.22
Stage 05,Microsservicos completos,3,high,get_product,6.77,22.69,33.16,63.45,10.7,242.78,,,0
Stage 05,Microsservicos completos,3,medium,get_product,1.04,2.21,2.93,5.17,1.32,21.59,,,0
Stage 05,Microsservicos completos,3,medium,todos,1.23,5.06,7.51,12.33,2.21,29.51,,,
Stage 05,Microsservicos completos,3,low,get_inventory,1.64,2.97,3.62,5.55,1.88,14.1,,,0
Stage 05,Microsservicos completos,3,todos,todos,4.35,37.95,90.14,422.7,22.63,2230.81,1957.0,1996297,1.435
Stage 05,Microsservicos completos,3,low,list_products,1.65,3.06,3.77,5.84,1.9,14.3,,,0
Stage 05,Microsservicos completos,3,todos,get_product,3.14,15.65,24.07,51.14,6.65,242.78,,,0
Stage 05,Microsservicos completos,3,medium,get_user,1.03,2.2,2.94,5.1,1.32,24.62,,,0
Stage 05,Microsservicos completos,3,low,get_product,1.57,2.94,3.65,5.63,1.82,16.65,,,0
Stage 05,Microsservicos completos,3,todos,get_inventory,2.93,13.97,21.38,47.09,6.1,245.14,,,0
Stage 05,Microsservicos completos,3,medium,post_order,5.61,11.19,13.06,17.4,6.75,29.51,,,9.54
Stage 05,Microsservicos completos,3,low,list_orders,2.35,4.34,5.38,7.97,2.68,20.99,,,0
Stage 05,Microsservicos completos,3,todos,list_products,3.29,15.91,24.24,51.88,6.79,253.87,,,0
Stage 05,Microsservicos completos,3,todos,get_user,3.12,15.28,23.52,51.96,6.56,252.66,,,0
Stage 05,Microsservicos completos,3,todos,post_order,18.92,250.67,460.86,915.45,90.81,2230.81,,,9.54
Stage 05,Microsservicos completos,3,medium,list_products,1.1,2.29,3.05,5.38,1.39,20.51,,,0
Stage 05,Microsservicos completos,3,high,list_orders,35.49,160.56,274.88,608.93,71.7,1731.41,,,0
Stage 05,Microsservicos completos,3,medium,list_orders,1.49,3.17,4.16,6.92,1.89,27.08,,,0
Stage 05,Microsservicos completos,3,todos,list_orders,6.51,99.89,171.12,486.88,40.24,1731.41,,,0
Stage 05,Microsservicos completos,3,high,get_user,6.58,22.17,32.75,63.76,10.52,252.66,,,0
Stage 05,Microsservicos completos,3,high,post_order,78.53,434.09,631.1,1089.89,158.27,2230.81,,,9.54
Stage 05,Microsservicos completos,3,low,todos,1.85,6.36,8.43,12.47,2.79,26.83,,,
Stage 05,Microsservicos completos,3,high,get_inventory,6.03,20.09,29.39,59.44,9.61,245.14,,,0
Stage 05,Microsservicos completos,3,medium,get_inventory,1.12,2.22,2.91,4.99,1.39,15.59,,,0
Stage 05,Microsservicos completos,3,high,todos,9.0,82.53,155.63,585.79,38.92,2230.81,,,
Stage 05,Microsservicos completos,3,high,list_products,6.91,22.9,33.55,63.88,10.87,253.87,,,0
Stage 05,Microsservicos completos,3,low,get_user,1.55,2.93,3.63,5.58,1.8,18.55,,,0
Stage 05,Microsservicos completos,3,low,post_order,7.12,11.36,13.13,17.18,7.65,26.83,,,9.54
Stage 05b,Microsservicos com gateway pareado (controle),1,high,post_order,125.64,369.65,583.34,1075.29,181.67,2173.02,,,4.397
Stage 05b,Microsservicos com gateway pareado (controle),1,todos,get_inventory,5.1,30.03,46.16,90.78,11.87,334.57,,,0
Stage 05b,Microsservicos com gateway pareado (controle),1,medium,list_products,1.91,4.3,5.56,9.52,2.46,61.75,,,0
Stage 05b,Microsservicos com gateway pareado (controle),1,medium,get_user,1.89,4.26,5.52,9.37,2.43,60.62,,,0
Stage 05b,Microsservicos com gateway pareado (controle),1,high,get_product,13.81,46.99,65.8,109.99,21.24,348.86,,,0
Stage 05b,Microsservicos com gateway pareado (controle),1,low,list_orders,2.59,5.29,6.71,10.24,3.09,24.03,,,0
Stage 05b,Microsservicos com gateway pareado (controle),1,high,list_orders,70.59,207.78,333.34,641.52,104.27,1737.98,,,0
Stage 05b,Microsservicos com gateway pareado (controle),1,todos,todos,7.47,71.57,138.83,377.7,30.77,2173.02,1836.0,1873065,0.661
Stage 05b,Microsservicos com gateway pareado (controle),1,todos,get_user,5.59,32.19,48.29,91.51,12.62,346.54,,,0
Stage 05b,Microsservicos com gateway pareado (controle),1,todos,list_orders,14.74,152.05,214.63,518.75,57.62,1737.98,,,0
Stage 05b,Microsservicos com gateway pareado (controle),1,todos,list_products,5.79,32.89,49.21,92.87,12.92,348.65,,,0
Stage 05b,Microsservicos com gateway pareado (controle),1,high,get_inventory,11.96,44.1,63.17,108.75,19.5,334.57,,,0
