stage,descricao,run,metric,unit,target,load_level,samples,mean,p95,max
Stage 01,Monolito completo,1,pool_wait_per_acquire_ms,ms,monolith,medium,30,0.158,0.208,0.215
Stage 01,Monolito completo,1,pool_wait_per_acquire_ms,ms,monolith,high,30,0.076,0.114,0.129
Stage 01,Monolito completo,1,pool_empty_acquire_per_s,por segundo,monolith,low,30,5.511,9.127,10.24
Stage 01,Monolito completo,1,pool_empty_acquire_per_s,por segundo,monolith,medium,30,242.301,310.773,312.74
Stage 01,Monolito completo,1,pool_empty_acquire_per_s,por segundo,monolith,high,30,437.862,584.958,623.9
Stage 01,Monolito completo,1,cpu_percent,percentual de um nucleo,api,low,60,41.711,46.945,49.92
Stage 01,Monolito completo,1,cpu_percent,percentual de um nucleo,api,medium,60,82.907,97.962,101.16
Stage 01,Monolito completo,1,cpu_percent,percentual de um nucleo,api,high,60,174.965,187.148,189.31
Stage 01,Monolito completo,1,memory_mb,MB,api,low,60,18.309,19.073,19.33
Stage 01,Monolito completo,1,memory_mb,MB,api,medium,60,24.69,25.578,25.94
Stage 01,Monolito completo,1,memory_mb,MB,api,high,60,36.05,36.743,37.2
Stage 01,Monolito completo,1,cpu_percent,percentual de um nucleo,grafana,low,60,0.064,0.11,0.13
Stage 01,Monolito completo,1,cpu_percent,percentual de um nucleo,grafana,medium,60,0.057,0.09,0.12
Stage 01,Monolito completo,1,cpu_percent,percentual de um nucleo,grafana,high,60,0.054,0.09,0.11
Stage 01,Monolito completo,1,memory_mb,MB,grafana,low,60,45.821,47.43,47.43
Stage 01,Monolito completo,1,memory_mb,MB,grafana,medium,60,43.867,43.91,44.14
Stage 01,Monolito completo,1,memory_mb,MB,grafana,high,60,43.79,43.815,44.02
Stage 01,Monolito completo,1,cpu_percent,percentual de um nucleo,postgres,low,60,30.637,35.405,36.88
Stage 01,Monolito completo,1,cpu_percent,percentual de um nucleo,postgres,medium,60,66.277,76.911,81.8
Stage 01,Monolito completo,1,cpu_percent,percentual de um nucleo,postgres,high,60,146.695,152.831,155.84
Stage 01,Monolito completo,1,memory_mb,MB,postgres,low,60,62.479,64.755,65.3
Stage 01,Monolito completo,1,memory_mb,MB,postgres,medium,60,75.619,83.887,85.36
Stage 01,Monolito completo,1,memory_mb,MB,postgres,high,60,111.779,132.43,134.9
Stage 01,Monolito completo,1,cpu_percent,percentual de um nucleo,prometheus,low,60,0.578,1.488,4.67
Stage 01,Monolito completo,1,cpu_percent,percentual de um nucleo,prometheus,medium,60,0.371,1.034,1.37
Stage 01,Monolito completo,1,cpu_percent,percentual de um nucleo,prometheus,high,60,0.33,0.722,0.93
Stage 01,Monolito completo,1,memory_mb,MB,prometheus,low,60,37.816,40.257,40.45
Stage 01,Monolito completo,1,memory_mb,MB,prometheus,medium,60,39.569,40.431,40.64
Stage 01,Monolito completo,1,memory_mb,MB,prometheus,high,60,38.686,39.651,39.88
Stage 01,Monolito completo,1,cpu_percent,percentual de um nucleo,cadvisor,low,60,0.059,0.394,1.19
Stage 01,Monolito completo,1,cpu_percent,percentual de um nucleo,cadvisor,medium,60,0.023,0.27,0.33
Stage 01,Monolito completo,1,cpu_percent,percentual de um nucleo,cadvisor,high,60,0.046,0.32,0.65
Stage 01,Monolito completo,1,memory_mb,MB,cadvisor,low,60,18.61,19.722,20.06
Stage 01,Monolito completo,1,memory_mb,MB,cadvisor,medium,60,19.158,19.91,20.11
Stage 01,Monolito completo,1,memory_mb,MB,cadvisor,high,60,19.14,20.05,20.06
Stage 01,Monolito completo,2,process_cpu_percent,percentual de um nucleo,monolith,low,30,37.29,41.241,41.4
Stage 01,Monolito completo,2,process_cpu_percent,percentual de um nucleo,monolith,medium,30,77.813,82.867,83.52
Stage 01,Monolito completo,2,process_cpu_percent,percentual de um nucleo,monolith,high,30,159.145,169.473,169.54
Stage 01,Monolito completo,2,process_cpu_percent,percentual de um nucleo,cadvisor,low,30,0.269,0.331,0.439
Stage 01,Monolito completo,2,process_cpu_percent,percentual de um nucleo,cadvisor,medium,30,0.199,0.251,0.28
Stage 01,Monolito completo,2,process_cpu_percent,percentual de um nucleo,cadvisor,high,30,0.157,0.2,0.22
Stage 01,Monolito completo,2,process_cpu_percent,percentual de um nucleo,prometheus,low,30,0.189,0.26,0.28
Stage 01,Monolito completo,2,process_cpu_percent,percentual de um nucleo,prometheus,medium,30,0.145,0.18,0.18
Stage 01,Monolito completo,2,process_cpu_percent,percentual de um nucleo,prometheus,high,30,0.127,0.16,0.16
Stage 01,Monolito completo,2,process_memory_mb,MB,monolith,low,30,24.395,25.235,25.68
Stage 01,Monolito completo,2,process_memory_mb,MB,monolith,medium,30,30.421,31.023,31.113
Stage 01,Monolito completo,2,process_memory_mb,MB,monolith,high,30,40.251,40.953,41.07
Stage 01,Monolito completo,2,process_memory_mb,MB,cadvisor,low,30,40.632,41.629,41.672
Stage 01,Monolito completo,2,process_memory_mb,MB,cadvisor,medium,30,41.723,42.559,42.934
Stage 01,Monolito completo,2,process_memory_mb,MB,cadvisor,high,30,42.474,43.318,43.676
Stage 01,Monolito completo,2,process_memory_mb,MB,prometheus,low,30,88.621,90.047,90.047
Stage 01,Monolito completo,2,process_memory_mb,MB,prometheus,medium,30,89.148,89.281,89.406
Stage 01,Monolito completo,2,process_memory_mb,MB,prometheus,high,30,89.188,89.719,89.719
Stage 01,Monolito completo,2,goroutines,goroutines,monolith,low,30,58.867,60.0,61.0
Stage 01,Monolito completo,2,goroutines,goroutines,monolith,medium,30,210.9,224.0,224.0
Stage 01,Monolito completo,2,goroutines,goroutines,monolith,high,30,510.333,524.75,532.0
Stage 01,Monolito completo,2,goroutines,goroutines,cadvisor,low,30,26.867,28.0,28.0
Stage 01,Monolito completo,2,goroutines,goroutines,cadvisor,medium,30,26.967,28.0,28.0
Stage 01,Monolito completo,2,goroutines,goroutines,cadvisor,high,30,26.867,28.0,28.0
Stage 01,Monolito completo,2,goroutines,goroutines,prometheus,low,30,36.033,36.0,37.0
Stage 01,Monolito completo,2,goroutines,goroutines,prometheus,medium,30,36.1,37.0,37.0
